Unit: incidents / ton pollutant,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Premature mortality,0.00093,0.0009350000000000001,0.0009400000000000001,0.000945,0.00095,0.00096,0.00097,0.00098,0.00099,0.001,0.00102,0.00104,0.00106,0.00108,0.0011,0.00112,0.00114,0.00116,0.00118,0.0012,0.00122,0.00124,0.00126,0.00128,0.0013,0.00132,0.00134,0.00136,0.00138,0.0014,0.00142,0.00144,0.00146,0.00148,0.0015,0.00152,0.00154,0.00156,0.00158,0.0016,0.00162,0.00164,0.00166,0.00168,0.0017,0.00172,0.00174,0.00176,0.00178,0.0018,0.00182,0.00184,0.00186,0.00188,0.0019
Respiratory emergency room visits,0.00052,0.0005225,0.000525,0.0005275,0.00053,0.000534,0.000538,0.000542,0.000546,0.00055,0.000554,0.000558,0.000562,0.000566,0.00057,0.000574,0.000578,0.000582,0.000586,0.00059,0.000594,0.000598,0.000602,0.000606,0.00061,0.000614,0.000618,0.000622,0.000626,0.00063,0.000634,0.000638,0.000642,0.000646,0.00065,0.000654,0.000658,0.000662,0.000666,0.00067,0.000674,0.000678,0.000682,0.000686,0.00069,0.000694,0.000698,0.000702,0.000706,0.00071,0.000714,0.000718,0.000722,0.000726,0.00073
Acute bronchitis,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.00142,0.00144,0.00146,0.00148,0.0015,0.00152,0.00154,0.00156,0.00158,0.0016,0.00162,0.00164,0.00166,0.00168,0.0017,0.00172,0.00174,0.00176,0.00178,0.0018,0.00182,0.00184,0.00186,0.00188,0.0019,0.00192,0.00194,0.00196,0.00198,0.002,0.00202,0.00204,0.00206,0.00208,0.0021,0.00212,0.00214,0.00216,0.00218,0.0022,0.00222,0.00224,0.00226,0.00228,0.0023
Lower respiratory symptoms,0.017,0.017,0.017,0.017,0.017,0.0172,0.0174,0.0176,0.0178,0.018,0.0184,0.0188,0.0192,0.0196,0.02,0.0204,0.0208,0.0212,0.0216,0.022,0.0224,0.0228,0.0232,0.0236,0.024,0.0244,0.0248,0.0252,0.0256,0.026,0.0264,0.0268,0.0272,0.0276,0.028,0.0284,0.0288,0.0292,0.0296,0.03,0.0304,0.0308,0.0312,0.0316,0.032,0.0324,0.0328,0.0332,0.0336,0.034,0.0344,0.0348,0.0352,0.0356,0.036
Upper respiratory symptoms,0.025,0.025,0.025,0.025,0.025,0.0252,0.0254,0.0256,0.0258,0.026,0.0264,0.0268,0.0272,0.0276,0.028,0.0284,0.0288,0.0292,0.0296,0.03,0.0304,0.0308,0.0312,0.0316,0.032,0.0324,0.0328,0.0332,0.0336,0.034,0.0344,0.0348,0.0352,0.0356,0.036,0.0364,0.0368,0.0372,0.0376,0.038,0.0384,0.0388,0.0392,0.0396,0.04,0.0404,0.0408,0.0412,0.0416,0.042,0.0424,0.0428,0.0432,0.0436,0.044
Minor restricted activity days,0.72,0.7224999999999999,0.725,0.7275,0.73,0.73,0.73,0.73,0.73,0.73,0.732,0.734,0.736,0.738,0.74,0.742,0.744,0.746,0.748,0.75,0.752,0.754,0.756,0.758,0.76,0.762,0.764,0.766,0.768,0.77,0.772,0.774,0.776,0.778,0.78,0.782,0.784,0.786,0.788,0.79,0.792,0.794,0.796,0.798,0.8,0.802,0.804,0.806,0.808,0.81,0.812,0.814,0.816,0.818,0.82
Work loss days,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.122,0.124,0.126,0.128,0.13,0.132,0.134,0.136,0.138,0.14,0.142,0.144,0.146,0.148,0.15,0.152,0.154,0.156,0.158,0.16,0.162,0.164,0.166,0.168,0.17,0.172,0.174,0.176,0.178,0.18,0.182,0.184,0.186,0.188,0.19,0.192,0.194,0.196,0.198,0.2,0.202,0.204,0.206,0.208,0.21
Asthma exacerbation,0.029,0.029,0.029,0.029,0.029,0.0292,0.0294,0.0296,0.0298,0.03,0.0304,0.0308,0.0312,0.0316,0.032,0.0324,0.0328,0.0332,0.0336,0.034,0.0344,0.0348,0.0352,0.0356,0.036,0.0364,0.0368,0.0372,0.0376,0.038,0.0384,0.0388,0.0392,0.0396,0.04,0.0404,0.0408,0.0412,0.0416,0.042,0.0424,0.0428,0.0432,0.0436,0.044,0.0444,0.0448,0.0452,0.0456,0.046,0.0464,0.0468,0.0472,0.0476,0.048
Cardiovascular hospital admissions,0.00021,0.00021500000000000002,0.00022,0.000225,0.00023,0.000234,0.000238,0.000242,0.000246,0.00025,0.000254,0.000258,0.000262,0.000266,0.00027,0.000274,0.000278,0.000282,0.000286,0.00029,0.000294,0.000298,0.000302,0.000306,0.00031,0.000314,0.000318,0.000322,0.000326,0.00033,0.000334,0.000338,0.000342,0.000346,0.00035,0.000354,0.000358,0.000362,0.000366,0.00037,0.000374,0.000378,0.000382,0.000386,0.00039,0.000394,0.000398,0.000402,0.000406,0.00041,0.000414,0.000418,0.000422,0.000426,0.00043
Respiratory hospital admissions,0.0002,0.000205,0.00021,0.00021500000000000002,0.00022,0.000224,0.000228,0.000232,0.000236,0.00024,0.000246,0.000252,0.000258,0.000264,0.00027,0.000276,0.000282,0.000288,0.000294,0.0003,0.000306,0.000312,0.000318,0.000324,0.00033,0.000336,0.000342,0.000348,0.000354,0.00036,0.000366,0.000372,0.000378,0.000384,0.00039,0.000396,0.000402,0.000408,0.000414,0.00042,0.000426,0.000432,0.000438,0.000444,0.00045,0.000456,0.000462,0.000468,0.000474,0.00048,0.000486,0.000492,0.000498,0.000504,0.00051
