Unit: incidents / ton pollutant,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Premature mortality,0.0058,0.005849999999999999,0.0059,0.00595,0.006,0.00608,0.00616,0.00624,0.00632,0.0064,0.00648,0.00656,0.00664,0.00672,0.0068,0.00688,0.00696,0.00704,0.00712,0.0072,0.00728,0.00736,0.00744,0.00752,0.0076,0.00768,0.00776,0.00784,0.00792,0.008,0.00808,0.00816,0.00824,0.00832,0.0084,0.00848,0.00856,0.00864,0.00872,0.0088,0.00888,0.00896,0.00904,0.00912,0.0092,0.00928,0.00936,0.00944,0.00952,0.0096,0.00968,0.00976,0.00984,0.00992,0.01
Respiratory emergency room visits,0.0034,0.003425,0.00345,0.003475,0.0035,0.00354,0.00358,0.00362,0.00366,0.0037,0.00372,0.00374,0.00376,0.00378,0.0038,0.00382,0.00384,0.00386,0.00388,0.0039,0.00392,0.00394,0.00396,0.00398,0.004,0.00402,0.00404,0.00406,0.00408,0.0041,0.00412,0.00414,0.00416,0.00418,0.0042,0.00422,0.00424,0.00426,0.00428,0.0043,0.00432,0.00434,0.00436,0.00438,0.0044,0.00442,0.00444,0.00446,0.00448,0.0045,0.00452,0.00454,0.00456,0.00458,0.0046
Acute bronchitis,0.0079,0.007925000000000001,0.00795,0.007975,0.008,0.00808,0.00816,0.00824,0.00832,0.0084,0.00852,0.00864,0.00876,0.00888,0.009,0.00912,0.00924,0.00936,0.00948,0.0096,0.00972,0.00984,0.00996,0.01008,0.0102,0.01032,0.01044,0.01056,0.01068,0.0108,0.01092,0.01104,0.01116,0.01128,0.0114,0.01152,0.01164,0.01176,0.01188,0.012,0.01212,0.01224,0.01236,0.01248,0.0126,0.01272,0.01284,0.01296,0.01308,0.0132,0.01332,0.01344,0.01356,0.01368,0.0138
Lower respiratory symptoms,0.1,0.1,0.1,0.1,0.1,0.102,0.104,0.106,0.108,0.11,0.112,0.114,0.116,0.118,0.12,0.122,0.124,0.126,0.128,0.13,0.132,0.134,0.136,0.138,0.14,0.142,0.144,0.146,0.148,0.15,0.152,0.154,0.156,0.158,0.16,0.162,0.164,0.166,0.168,0.17,0.172,0.174,0.176,0.178,0.18,0.182,0.184,0.186,0.188,0.19,0.192,0.194,0.196,0.198,0.2
Upper respiratory symptoms,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.154,0.158,0.162,0.166,0.17,0.174,0.178,0.182,0.186,0.19,0.194,0.198,0.202,0.206,0.21,0.214,0.218,0.222,0.226,0.23,0.234,0.238,0.242,0.246,0.25,0.254,0.258,0.262,0.266,0.27,0.274,0.278,0.282,0.286,0.29,0.294,0.298,0.302,0.306,0.31,0.314,0.318,0.322,0.326,0.33
Minor restricted activity days,4.4,4.425000000000001,4.45,4.475,4.5,4.5,4.5,4.5,4.5,4.5,4.52,4.54,4.56,4.58,4.6,4.62,4.64,4.66,4.68,4.7,4.72,4.74,4.76,4.78,4.8,4.82,4.84,4.86,4.88,4.9,4.92,4.94,4.96,4.98,5.0,5.02,5.04,5.06,5.08,5.1,5.12,5.14,5.16,5.18,5.2,5.22,5.24,5.26,5.28,5.3,5.32,5.34,5.36,5.38,5.4
Work loss days,0.74,0.745,0.75,0.755,0.76,0.762,0.764,0.766,0.768,0.77,0.774,0.778,0.782,0.786,0.79,0.794,0.798,0.802,0.806,0.81,0.814,0.818,0.822,0.826,0.83,0.834,0.838,0.842,0.846,0.85,0.854,0.858,0.862,0.866,0.87,0.874,0.878,0.882,0.886,0.89,0.894,0.898,0.902,0.906,0.91,0.914,0.918,0.922,0.926,0.93,0.934,0.938,0.942,0.946,0.95
Asthma exacerbation,0.17,0.17,0.17,0.17,0.17,0.172,0.174,0.176,0.178,0.18,0.182,0.184,0.186,0.188,0.19,0.192,0.194,0.196,0.198,0.2,0.202,0.204,0.206,0.208,0.21,0.212,0.214,0.216,0.218,0.22,0.222,0.224,0.226,0.228,0.23,0.232,0.234,0.236,0.238,0.24,0.242,0.244,0.246,0.248,0.25,0.252,0.254,0.256,0.258,0.26,0.262,0.264,0.266,0.268,0.27
Cardiovascular hospital admissions,0.0014,0.001425,0.00145,0.001475,0.0015,0.00154,0.00158,0.00162,0.00166,0.0017,0.00172,0.00174,0.00176,0.00178,0.0018,0.00182,0.00184,0.00186,0.00188,0.0019,0.00192,0.00194,0.00196,0.00198,0.002,0.00202,0.00204,0.00206,0.00208,0.0021,0.00212,0.00214,0.00216,0.00218,0.0022,0.00222,0.00224,0.00226,0.00228,0.0023,0.00232,0.00234,0.00236,0.00238,0.0024,0.00242,0.00244,0.00246,0.00248,0.0025,0.00252,0.00254,0.00256,0.00258,0.0026
Respiratory hospital admissions,0.0013,0.00135,0.0014,0.00145,0.0015,0.00152,0.00154,0.00156,0.00158,0.0016,0.00164,0.00168,0.00172,0.00176,0.0018,0.00184,0.00188,0.00192,0.00196,0.002,0.00204,0.00208,0.00212,0.00216,0.0022,0.00224,0.00228,0.00232,0.00236,0.0024,0.00244,0.00248,0.00252,0.00256,0.0026,0.00264,0.00268,0.00272,0.00276,0.0028,0.00284,0.00288,0.00292,0.00296,0.003,0.00304,0.00308,0.00312,0.00316,0.0032,0.00324,0.00328,0.00332,0.00336,0.0034
