Unit: incidents / ton pollutant,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Premature mortality,0.016,0.016,0.016,0.016,0.016,0.0162,0.0164,0.0166,0.0168,0.017,0.0172,0.0174,0.0176,0.0178,0.018,0.0182,0.0184,0.0186,0.0188,0.019,0.0192,0.0194,0.0196,0.0198,0.02,0.0202,0.0204,0.0206,0.0208,0.021,0.0212,0.0214,0.0216,0.0218,0.022,0.0222,0.0224,0.0226,0.0228,0.023,0.0232,0.0234,0.0236,0.0238,0.024,0.0242,0.0244,0.0246,0.0248,0.025,0.0252,0.0254,0.0256,0.0258,0.026
Respiratory emergency room visits,0.0088,0.008875000000000001,0.00895,0.009025,0.0091,0.00916,0.00922,0.00928,0.00934,0.0094,0.00948,0.00956,0.00964,0.00972,0.0098,0.00988,0.00996,0.01004,0.01012,0.0102,0.01028,0.01036,0.01044,0.01052,0.0106,0.01068,0.01076,0.01084,0.01092,0.011,0.01108,0.01116,0.01124,0.01132,0.0114,0.01148,0.01156,0.01164,0.01172,0.0118,0.01188,0.01196,0.01204,0.01212,0.0122,0.01228,0.01236,0.01244,0.01252,0.0126,0.01268,0.01276,0.01284,0.01292,0.013
Acute bronchitis,0.021,0.021,0.021,0.021,0.021,0.0212,0.0214,0.0216,0.0218,0.022,0.0224,0.0228,0.0232,0.0236,0.024,0.0244,0.0248,0.0252,0.0256,0.026,0.0264,0.0268,0.0272,0.0276,0.028,0.0284,0.0288,0.0292,0.0296,0.03,0.0304,0.0308,0.0312,0.0316,0.032,0.0324,0.0328,0.0332,0.0336,0.034,0.0344,0.0348,0.0352,0.0356,0.036,0.0364,0.0368,0.0372,0.0376,0.038,0.0384,0.0388,0.0392,0.0396,0.04
Lower respiratory symptoms,0.27,0.27,0.27,0.27,0.27,0.274,0.278,0.282,0.286,0.29,0.294,0.298,0.302,0.306,0.31,0.314,0.318,0.322,0.326,0.33,0.334,0.338,0.342,0.346,0.35,0.354,0.358,0.362,0.366,0.37,0.374,0.378,0.382,0.386,0.39,0.394,0.398,0.402,0.406,0.41,0.414,0.418,0.422,0.426,0.43,0.434,0.438,0.442,0.446,0.45,0.454,0.458,0.462,0.466,0.47
Upper respiratory symptoms,0.39,0.39,0.39,0.39,0.39,0.394,0.398,0.402,0.406,0.41,0.416,0.422,0.428,0.434,0.44,0.446,0.452,0.458,0.464,0.47,0.476,0.482,0.488,0.494,0.5,0.506,0.512,0.518,0.524,0.53,0.536,0.542,0.548,0.554,0.56,0.566,0.572,0.578,0.584,0.59,0.596,0.602,0.608,0.614,0.62,0.626,0.632,0.638,0.644,0.65,0.656,0.662,0.668,0.674,0.68
Minor restricted activity days,12,12,12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Work loss days,1.9,1.9249999999999998,1.95,1.975,2.0,2.0,2.0,2.0,2.0,2.0,2.02,2.04,2.06,2.08,2.1,2.12,2.14,2.16,2.18,2.2,2.22,2.24,2.26,2.28,2.3,2.32,2.34,2.36,2.38,2.4,2.42,2.44,2.46,2.48,2.5,2.52,2.54,2.56,2.58,2.6,2.62,2.64,2.66,2.68,2.7,2.72,2.74,2.76,2.78,2.8,2.82,2.84,2.86,2.88,2.9
Asthma exacerbation,0.45,0.4525,0.455,0.4575,0.46,0.464,0.468,0.472,0.476,0.48,0.486,0.492,0.498,0.504,0.51,0.516,0.522,0.528,0.534,0.54,0.546,0.552,0.558,0.564,0.57,0.576,0.582,0.588,0.594,0.6,0.606,0.612,0.618,0.624,0.63,0.636,0.642,0.648,0.654,0.66,0.666,0.672,0.678,0.684,0.69,0.696,0.702,0.708,0.714,0.72,0.726,0.732,0.738,0.744,0.75
Cardiovascular hospital admissions,0.0037,0.003775,0.00385,0.003925,0.004,0.00408,0.00416,0.00424,0.00432,0.0044,0.00448,0.00456,0.00464,0.00472,0.0048,0.00488,0.00496,0.00504,0.00512,0.0052,0.00528,0.00536,0.00544,0.00552,0.0056,0.00568,0.00576,0.00584,0.00592,0.006,0.00608,0.00616,0.00624,0.00632,0.0064,0.00648,0.00656,0.00664,0.00672,0.0068,0.00688,0.00696,0.00704,0.00712,0.0072,0.00728,0.00736,0.00744,0.00752,0.0076,0.00768,0.00776,0.00784,0.00792,0.008
Respiratory hospital admissions,0.0035,0.003575,0.00365,0.003725,0.0038,0.0039,0.004,0.0041,0.0042,0.0043,0.00438,0.00446,0.00454,0.00462,0.0047,0.00478,0.00486,0.00494,0.00502,0.0051,0.00518,0.00526,0.00534,0.00542,0.0055,0.00558,0.00566,0.00574,0.00582,0.0059,0.00598,0.00606,0.00614,0.00622,0.0063,0.00638,0.00646,0.00654,0.00662,0.0067,0.00678,0.00686,0.00694,0.00702,0.0071,0.00718,0.00726,0.00734,0.00742,0.0075,0.00758,0.00766,0.00774,0.00782,0.0079
