Unit: incidents / ton pollutant,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Premature mortality,0.0044,0.004425,0.00445,0.004475,0.0045,0.00456,0.00462,0.00468,0.00474,0.0048,0.00486,0.00492,0.00498,0.00504,0.0051,0.00516,0.00522,0.00528,0.00534,0.0054,0.00546,0.00552,0.00558,0.00564,0.0057,0.00576,0.00582,0.00588,0.00594,0.006,0.00606,0.00612,0.00618,0.00624,0.0063,0.00636,0.00642,0.00648,0.00654,0.0066,0.00666,0.00672,0.00678,0.00684,0.0069,0.00696,0.00702,0.00708,0.00714,0.0072,0.00726,0.00732,0.00738,0.00744,0.0075
Respiratory emergency room visits,0.0022,0.0022,0.0022,0.0022,0.0022,0.00222,0.00224,0.00226,0.00228,0.0023,0.00232,0.00234,0.00236,0.00238,0.0024,0.00242,0.00244,0.00246,0.00248,0.0025,0.00252,0.00254,0.00256,0.00258,0.0026,0.00262,0.00264,0.00266,0.00268,0.0027,0.00272,0.00274,0.00276,0.00278,0.0028,0.00282,0.00284,0.00286,0.00288,0.0029,0.00292,0.00294,0.00296,0.00298,0.003,0.00302,0.00304,0.00306,0.00308,0.0031,0.00312,0.00314,0.00316,0.00318,0.0032
Acute bronchitis,0.0054,0.005425,0.00545,0.005475,0.0055,0.00554,0.00558,0.00562,0.00566,0.0057,0.0058,0.0059,0.006,0.0061,0.0062,0.0063,0.0064,0.0065,0.0066,0.0067,0.0068,0.0069,0.007,0.0071,0.0072,0.0073,0.0074,0.0075,0.0076,0.0077,0.0078,0.0079,0.008,0.0081,0.0082,0.0083,0.0084,0.0085,0.0086,0.0087,0.0088,0.0089,0.009,0.0091,0.0092,0.0093,0.0094,0.0095,0.0096,0.0097,0.0098,0.0099,0.01,0.0101,0.0102
Lower respiratory symptoms,0.07,0.07,0.07,0.07,0.07,0.0706,0.0712,0.0718,0.0724,0.073,0.0742,0.0754,0.0766,0.0778,0.079,0.0802,0.0814,0.0826,0.0838,0.085,0.0862,0.0874,0.0886,0.0898,0.091,0.0922,0.0934,0.0946,0.0958,0.097,0.0982,0.0994,0.1006,0.1018,0.103,0.1042,0.1054,0.1066,0.1078,0.109,0.1102,0.1114,0.1126,0.1138,0.115,0.1162,0.1174,0.1186,0.1198,0.121,0.1222,0.1234,0.1246,0.1258,0.127
Upper respiratory symptoms,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.102,0.104,0.106,0.108,0.11,0.112,0.114,0.116,0.118,0.12,0.122,0.124,0.126,0.128,0.13,0.132,0.134,0.136,0.138,0.14,0.142,0.144,0.146,0.148,0.15,0.152,0.154,0.156,0.158,0.16,0.162,0.164,0.166,0.168,0.17,0.172,0.174,0.176,0.178,0.18,0.182,0.184,0.186,0.188,0.19
Minor restricted activity days,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.02,3.04,3.06,3.08,3.1,3.12,3.14,3.16,3.18,3.2,3.22,3.24,3.26,3.28,3.3,3.32,3.34,3.36,3.38,3.4,3.42,3.44,3.46,3.48,3.5,3.52,3.54,3.56,3.58,3.6,3.62,3.64,3.66,3.68,3.7,3.72,3.74,3.76,3.78,3.8,3.82,3.84,3.86,3.88,3.9
Work loss days,0.5,0.5025,0.505,0.5075000000000001,0.51,0.512,0.514,0.516,0.518,0.52,0.522,0.524,0.526,0.528,0.53,0.532,0.534,0.536,0.538,0.54,0.542,0.544,0.546,0.548,0.55,0.552,0.554,0.556,0.558,0.56,0.562,0.564,0.566,0.568,0.57,0.572,0.574,0.576,0.578,0.58,0.582,0.584,0.586,0.588,0.59,0.592,0.594,0.596,0.598,0.6,0.602,0.604,0.606,0.608,0.61
Asthma exacerbation,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.122,0.124,0.126,0.128,0.13,0.132,0.134,0.136,0.138,0.14,0.142,0.144,0.146,0.148,0.15,0.152,0.154,0.156,0.158,0.16,0.162,0.164,0.166,0.168,0.17,0.172,0.174,0.176,0.178,0.18,0.182,0.184,0.186,0.188,0.19,0.192,0.194,0.196,0.198,0.2,0.202,0.204,0.206,0.208,0.21
Cardiovascular hospital admissions,0.001,0.001025,0.0010500000000000002,0.001075,0.0011,0.00112,0.00114,0.00116,0.00118,0.0012,0.00124,0.00128,0.00132,0.00136,0.0014,0.00144,0.00148,0.00152,0.00156,0.0016,0.00164,0.00168,0.00172,0.00176,0.0018,0.00184,0.00188,0.00192,0.00196,0.002,0.00204,0.00208,0.00212,0.00216,0.0022,0.00224,0.00228,0.00232,0.00236,0.0024,0.00244,0.00248,0.00252,0.00256,0.0026,0.00264,0.00268,0.00272,0.00276,0.0028,0.00284,0.00288,0.00292,0.00296,0.003
Respiratory hospital admissions,0.001,0.001025,0.0010500000000000002,0.001075,0.0011,0.00112,0.00114,0.00116,0.00118,0.0012,0.00122,0.00124,0.00126,0.00128,0.0013,0.00132,0.00134,0.00136,0.00138,0.0014,0.00142,0.00144,0.00146,0.00148,0.0015,0.00152,0.00154,0.00156,0.00158,0.0016,0.00162,0.00164,0.00166,0.00168,0.0017,0.00172,0.00174,0.00176,0.00178,0.0018,0.00182,0.00184,0.00186,0.00188,0.0019,0.00192,0.00194,0.00196,0.00198,0.002,0.00202,0.00204,0.00206,0.00208,0.0021
