Unit: incidents / ton pollutant,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Premature mortality,0.0049,0.004925,0.0049499999999999995,0.004975,0.005,0.00508,0.00516,0.00524,0.00532,0.0054,0.00546,0.00552,0.00558,0.00564,0.0057,0.00576,0.00582,0.00588,0.00594,0.006,0.00606,0.00612,0.00618,0.00624,0.0063,0.00636,0.00642,0.00648,0.00654,0.0066,0.00666,0.00672,0.00678,0.00684,0.0069,0.00696,0.00702,0.00708,0.00714,0.0072,0.00726,0.00732,0.00738,0.00744,0.0075,0.00756,0.00762,0.00768,0.00774,0.0078,0.00786,0.00792,0.00798,0.00804,0.0081
Respiratory emergency room visits,0.0026,0.0026249999999999997,0.00265,0.0026750000000000003,0.0027,0.00272,0.00274,0.00276,0.00278,0.0028,0.00282,0.00284,0.00286,0.00288,0.0029,0.00292,0.00294,0.00296,0.00298,0.003,0.00302,0.00304,0.00306,0.00308,0.0031,0.00312,0.00314,0.00316,0.00318,0.0032,0.00322,0.00324,0.00326,0.00328,0.0033,0.00332,0.00334,0.00336,0.00338,0.0034,0.00342,0.00344,0.00346,0.00348,0.0035,0.00352,0.00354,0.00356,0.00358,0.0036,0.00362,0.00364,0.00366,0.00368,0.0037
Acute bronchitis,0.0064,0.0064,0.0064,0.0064,0.0064,0.00648,0.00656,0.00664,0.00672,0.0068,0.0069,0.007,0.0071,0.0072,0.0073,0.0074,0.0075,0.0076,0.0077,0.0078,0.0079,0.008,0.0081,0.0082,0.0083,0.0084,0.0085,0.0086,0.0087,0.0088,0.0089,0.009,0.0091,0.0092,0.0093,0.0094,0.0095,0.0096,0.0097,0.0098,0.0099,0.01,0.0101,0.0102,0.0103,0.0104,0.0105,0.0106,0.0107,0.0108,0.0109,0.011,0.0111,0.0112,0.0113
Lower respiratory symptoms,0.082,0.082,0.082,0.082,0.082,0.0828,0.0836,0.0844,0.0852,0.086,0.0874,0.0888,0.0902,0.0916,0.093,0.0944,0.0958,0.0972,0.0986,0.1,0.1014,0.1028,0.1042,0.1056,0.107,0.1084,0.1098,0.1112,0.1126,0.114,0.1154,0.1168,0.1182,0.1196,0.121,0.1224,0.1238,0.1252,0.1266,0.128,0.1294,0.1308,0.1322,0.1336,0.135,0.1364,0.1378,0.1392,0.1406,0.142,0.1434,0.1448,0.1462,0.1476,0.149
Upper respiratory symptoms,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.122,0.124,0.126,0.128,0.13,0.132,0.134,0.136,0.138,0.14,0.142,0.144,0.146,0.148,0.15,0.152,0.154,0.156,0.158,0.16,0.162,0.164,0.166,0.168,0.17,0.172,0.174,0.176,0.178,0.18,0.182,0.184,0.186,0.188,0.19,0.192,0.194,0.196,0.198,0.2,0.202,0.204,0.206,0.208,0.21
Minor restricted activity days,3.5,3.5,3.5,3.5,3.5,3.52,3.54,3.56,3.58,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
Work loss days,0.58,0.5825,0.585,0.5874999999999999,0.59,0.594,0.598,0.602,0.606,0.61,0.612,0.614,0.616,0.618,0.62,0.622,0.624,0.626,0.628,0.63,0.632,0.634,0.636,0.638,0.64,0.642,0.644,0.646,0.648,0.65,0.652,0.654,0.656,0.658,0.66,0.662,0.664,0.666,0.668,0.67,0.672,0.674,0.676,0.678,0.68,0.682,0.684,0.686,0.688,0.69,0.692,0.694,0.696,0.698,0.7
Asthma exacerbation,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.142,0.144,0.146,0.148,0.15,0.152,0.154,0.156,0.158,0.16,0.162,0.164,0.166,0.168,0.17,0.172,0.174,0.176,0.178,0.18,0.182,0.184,0.186,0.188,0.19,0.192,0.194,0.196,0.198,0.2,0.202,0.204,0.206,0.208,0.21,0.212,0.214,0.216,0.218,0.22,0.222,0.224,0.226,0.228,0.23
Cardiovascular hospital admissions,0.0012,0.001225,0.0012499999999999998,0.0012749999999999999,0.0013,0.00132,0.00134,0.00136,0.00138,0.0014,0.00142,0.00144,0.00146,0.00148,0.0015,0.00152,0.00154,0.00156,0.00158,0.0016,0.00162,0.00164,0.00166,0.00168,0.0017,0.00172,0.00174,0.00176,0.00178,0.0018,0.00182,0.00184,0.00186,0.00188,0.0019,0.00192,0.00194,0.00196,0.00198,0.002,0.00202,0.00204,0.00206,0.00208,0.0021,0.00212,0.00214,0.00216,0.00218,0.0022,0.00222,0.00224,0.00226,0.00228,0.0023
Respiratory hospital admissions,0.0011,0.0011250000000000001,0.00115,0.0011749999999999998,0.0012,0.00124,0.00128,0.00132,0.00136,0.0014,0.00142,0.00144,0.00146,0.00148,0.0015,0.00152,0.00154,0.00156,0.00158,0.0016,0.00162,0.00164,0.00166,0.00168,0.0017,0.00172,0.00174,0.00176,0.00178,0.0018,0.00182,0.00184,0.00186,0.00188,0.0019,0.00192,0.00194,0.00196,0.00198,0.002,0.00202,0.00204,0.00206,0.00208,0.0021,0.00212,0.00214,0.00216,0.00218,0.0022,0.00222,0.00224,0.00226,0.00228,0.0023
