Year,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
electricity (BTU),205754010989101.03,223142553733823.78,240531096478546.53,249132427099371.25,276387733887304.8,298034077084229.9,313141699793749.4,330595894458504.3,347015125981406.56,362783335623757.1,377069246808496.8,391097964362093.8,416423310646159.25,428058818046227.56,439351862004055.56,450489452377980.5,461534379614923.44,471167184855692.8,476668114267960.7,482041925534613.56,487317109121404.1,492518304372018.25,500738125487569.06,504808977873004.44,508814954214368.06,512775154320688.4,516718122757248.25,520039898491408.6,523371884909772.8,526730178840484.1,530131175215396.8,533591736011254.3,537615399350800.94,539619367395632.2,541719763786181.2,543936579755799.56,546291154453100.6,548863111666275.94,551620593542289.6,554590604461355.75,557802657532539.56,561289132557721.4,564863231884514.4,568527230400229.0,572283462125898.2,576134321753478.6,580082266223012.9,584129816340792.5,588279558439581.9,592534146082004.9,596896301808207.2,601368818928954.2
coal (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas (BTU),787142857142.8895,1150178571428.5552,1513214285714.221,1995000000000.0,2280000000000.0,2565000000000.0,2850000000000.0,3230000000000.0,3610000000000.0,4085000000000.0,4560000000000.0,5130000000000.0,5795000000000.0,6555000000000.0,7315000000000.0,8265000000000.0,9310000000000.0,10450000000000.0,11780000000000.0,13300000000000.0,15010000000000.0,15760500000000.0,16520500000000.0,17280499999999.998,18040500000000.0,18791000000000.0,19551000000000.0,20292000000000.0,21023500000000.0,21736000000000.0,22429500000000.0,23104000000000.0,23750000000000.0,24367500000000.0,24947000000000.0,25498000000000.0,26011000000000.0,26476500000000.0,26904000000000.0,27274500000000.0,27607000000000.0,27882500000000.0,28160749311768.758,28441775371659.09,28725605889820.863,29012268852933.33,29301792526964.668,29594205459959.152,29889536484852.07,30187814722312.746,30489069583615.94,30793330773541.914
petroleum diesel (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass (BTU),124079384321579.95,113972695977096.75,103866007632613.56,93963081041181.27,83245107437545.77,73749704352214.66,65337416391537.4,57884695504496.99,51282086457826.47,45432619294540.88,40250385164540.83,35659274609372.15,31591859769496.836,27988404096514.27,24795985025676.055,21967716723267.7,19462061493354.348,17242219730608.938,15275589459594.52,13533287522912.102,11989725386069.86,10622233329082.441,9410727505456.797,8337414978802.072,7386532405065.738,6544114522537.831,5797789049539.385,5136594977548.655,4550821591116.848,4031865850329.548,3572106041252.18,3164789838717.9795,2803935137484.2905,2484242195306.1577,2201015797609.073,1950096300625.5005,1727798540253.7852,1530857709418.5154,1356381409054.746,1201807168507.86,1064864811467.8782,943543114721.3286,836060272127.7235,740837721300.9523,656476962393.2699,581739018826.1453,515526240882.5445,456866184916.4926,404897331419.6052,358856432190.921,318067300782.4242,281930881589.52344
kerosene (BTU),12046732463715.111,11304995931852.377,10563259399989.64,9911516929137.916,8899798214241.604,8428043865412.333,7981295944850.529,7558228929100.498,7157587557137.188,6778183105943.859,6418889863511.328,6078641788794.097,5756429348713.136,5451296522820.716,5162337966739.823,4888696325962.077,4629559692033.932,4384159193583.663,4151766715041.479,3931692736284.161,3723284286794.325,3525923008264.191,3339023319895.523,3162030680952.046,2994419945409.3394,2835693803820.2593,2685381307772.9087,2543036472563.106,2408236953935.4443,2280582794966.717,2159695239373.701,2045215607724.2964,1936804233217.6829,1834139453875.9146,1736916658156.7158,1644847381155.7812,1557658448716.9578,1475091166910.8389,1396900554476.9226,1322854615951.937,1252733653327.6877,1186329614196.0576,1123445474447.0952,1063894653688.6115,1007500461652.8116,954095573947.4214,903521535595.8331,855628290893.2561,810273738183.9235,767323308238.3625,726649564979.7516,688131827374.6969
heavy or residual fuel oil (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG propane or butane (BTU),2185000000000.0002,2850000000000.0,3515000000000.0,4180000000000.0,4845000000000.0,5510000000000.0,6175000000000.0,6840000000000.0,7505000000000.0,8170000000000.0,8835000000000.0,9500000000000.0,10165000000000.0,10830000000000.0,11495000000000.0,12160000000000.0,12825000000000.0,13490000000000.0,14155000000000.0,14820000000000.0,15485000000000.0,16150000000000.0,16815000000000.0,17480000000000.002,18145000000000.0,18810000000000.0,19475000000000.0,20140000000000.0,20805000000000.0,21470000000000.0,22135000000000.0,22800000000000.0,23465000000000.0,24130000000000.0,24795000000000.0,25460000000000.0,26125000000000.0,26790000000000.0,27455000000000.0,28120000000000.0,28785000000000.0,29450000000000.0,30130363036303.633,30826444030541.664,31538606103854.508,32267220766319.797,33012668110756.22,33775337011004.71,34555625324790.297,35353940101270.6,36170697793379.164,37006324475074.39
hydrogen (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
