Unit: $/MW,Distributed Solar Soft Costs
2019,1123713.5732894961
2020,1095947.8444159604
2021,981921.5723857587
2022,935865.520045263
2023,889809.4677047674
2024,843753.4153642715
2025,797697.3630237757
2026,752218.0375767159
2027,706667.513608268
2028,661045.8947093618
2029,615353.2840714398
2030,569589.7844888543
2031,562973.8743151983
2032,556357.9641415422
2033,549742.0539678863
2034,543126.1437942302
2035,536510.2336205742
2036,529894.3234469183
2037,523278.4132732622
2038,516662.5030996063
2039,510046.5929259503
2040,503430.6827522941
2041,496814.7725786382
2042,490198.8624049822
2043,483582.9522313261
2044,476967.0420576701
2045,470351.1318840141
2046,463735.2217103582
2047,457119.311536702
2048,450503.401363046
2049,443887.4911893902
2050,437271.5810157336
2051,430754.2775122234
2052,424334.1109981747
2053,418009.6336977217
2054,411779.4194133384
2055,405642.0632042246
2056,399596.181069486
2057,393640.4096360352
2058,387773.4058511454
2059,381993.8466795862
2060,376300.4288052731
2061,370691.868337364
2062,365166.9005207364
2063,359724.2794507792
2064,354362.777792436
2065,349081.1865034356
2066,343878.314561647
2067,338752.9886964998
2068,333704.0531244056
2069,328730.3692881242
2070,323830.8156000134
