Unit: $/(BTU/yr) - a measure of capacity of the fuel-burning equipment that would have been purchased in the absence of an electrification policy,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0
coal,0.0001192264,0.0001172623,0.0001155067,0.0001137512,0.0001119956,0.00011024,0.0001084844,0.0001067288,0.0001049732,0.0001032176,0.000101462,9.97064e-05,9.78768e-05,9.65035e-05,9.51302e-05,9.3757e-05,9.23837e-05,9.10105e-05,8.96372e-05,8.8264e-05,8.68907e-05,8.55174e-05,8.41442e-05,8.27709e-05,8.13977e-05,8.00244e-05,7.86512e-05,7.72779e-05,7.59046e-05,7.45314e-05,7.31581e-05,7.17849e-05,7.04374e-05,6.91152e-05,6.78178e-05,6.65448e-05,6.52957e-05,6.407e-05,6.28674e-05,6.16873e-05,6.05294e-05,5.93932e-05,5.82783e-05,5.71843e-05,5.61109e-05,5.50577e-05,5.40242e-05,5.30101e-05,5.2015e-05,5.10386e-05,5.00806e-05,4.91405e-05
natural gas,0.0001192264,0.0001172623,0.0001155067,0.0001137512,0.0001119956,0.00011024,0.0001084844,0.0001067288,0.0001049732,0.0001032176,0.000101462,9.97064e-05,9.78768e-05,9.65035e-05,9.51302e-05,9.3757e-05,9.23837e-05,9.10105e-05,8.96372e-05,8.8264e-05,8.68907e-05,8.55174e-05,8.41442e-05,8.27709e-05,8.13977e-05,8.00244e-05,7.86512e-05,7.72779e-05,7.59046e-05,7.45314e-05,7.31581e-05,7.17849e-05,7.04374e-05,6.91152e-05,6.78178e-05,6.65448e-05,6.52957e-05,6.407e-05,6.28674e-05,6.16873e-05,6.05294e-05,5.93932e-05,5.82783e-05,5.71843e-05,5.61109e-05,5.50577e-05,5.40242e-05,5.30101e-05,5.2015e-05,5.10386e-05,5.00806e-05,4.91405e-05
petroleum diesel,0.0001201413,0.0001181772,0.0001164216,0.000114666,0.0001129104,0.0001111548,0.0001093992,0.0001076437,0.0001058881,0.0001041325,0.0001023769,0.0001006213,9.87916e-05,9.74184e-05,9.60451e-05,9.46718e-05,9.32986e-05,9.19253e-05,9.05521e-05,8.91788e-05,8.78056e-05,8.64323e-05,8.5059e-05,8.36858e-05,8.23125e-05,8.09393e-05,7.9566e-05,7.81928e-05,7.68195e-05,7.54462e-05,7.4073e-05,7.26997e-05,7.13519e-05,7.00291e-05,6.87308e-05,6.74566e-05,6.6206e-05,6.49786e-05,6.3774e-05,6.25916e-05,6.14312e-05,6.02924e-05,5.91746e-05,5.80775e-05,5.70008e-05,5.59441e-05,5.49069e-05,5.3889e-05,5.28899e-05,5.19094e-05,5.0947e-05,5.00025e-05
heat,0.0001192264,0.0001172623,0.0001155067,0.0001137512,0.0001119956,0.00011024,0.0001084844,0.0001067288,0.0001049732,0.0001032176,0.000101462,9.97064e-05,9.78768e-05,9.65035e-05,9.51302e-05,9.3757e-05,9.23837e-05,9.10105e-05,8.96372e-05,8.8264e-05,8.68907e-05,8.55174e-05,8.41442e-05,8.27709e-05,8.13977e-05,8.00244e-05,7.86512e-05,7.72779e-05,7.59046e-05,7.45314e-05,7.31581e-05,7.17849e-05,7.04374e-05,6.91152e-05,6.78178e-05,6.65448e-05,6.52957e-05,6.407e-05,6.28674e-05,6.16873e-05,6.05294e-05,5.93932e-05,5.82783e-05,5.71843e-05,5.61109e-05,5.50577e-05,5.40242e-05,5.30101e-05,5.2015e-05,5.10386e-05,5.00806e-05,4.91405e-05
biomass,0.0001201413,0.0001181772,0.0001164216,0.000114666,0.0001129104,0.0001111548,0.0001093992,0.0001076437,0.0001058881,0.0001041325,0.0001023769,0.0001006213,9.87916e-05,9.74184e-05,9.60451e-05,9.46718e-05,9.32986e-05,9.19253e-05,9.05521e-05,8.91788e-05,8.78056e-05,8.64323e-05,8.5059e-05,8.36858e-05,8.23125e-05,8.09393e-05,7.9566e-05,7.81928e-05,7.68195e-05,7.54462e-05,7.4073e-05,7.26997e-05,7.13519e-05,7.00291e-05,6.87308e-05,6.74566e-05,6.6206e-05,6.49786e-05,6.3774e-05,6.25916e-05,6.14312e-05,6.02924e-05,5.91746e-05,5.80775e-05,5.70008e-05,5.59441e-05,5.49069e-05,5.3889e-05,5.28899e-05,5.19094e-05,5.0947e-05,5.00025e-05
kerosene,0.0001201413,0.0001181772,0.0001164216,0.000114666,0.0001129104,0.0001111548,0.0001093992,0.0001076437,0.0001058881,0.0001041325,0.0001023769,0.0001006213,9.87916e-05,9.74184e-05,9.60451e-05,9.46718e-05,9.32986e-05,9.19253e-05,9.05521e-05,8.91788e-05,8.78056e-05,8.64323e-05,8.5059e-05,8.36858e-05,8.23125e-05,8.09393e-05,7.9566e-05,7.81928e-05,7.68195e-05,7.54462e-05,7.4073e-05,7.26997e-05,7.13519e-05,7.00291e-05,6.87308e-05,6.74566e-05,6.6206e-05,6.49786e-05,6.3774e-05,6.25916e-05,6.14312e-05,6.02924e-05,5.91746e-05,5.80775e-05,5.70008e-05,5.59441e-05,5.49069e-05,5.3889e-05,5.28899e-05,5.19094e-05,5.0947e-05,5.00025e-05
heavy or residual fuel oil,0.0001201413,0.0001181772,0.0001164216,0.000114666,0.0001129104,0.0001111548,0.0001093992,0.0001076437,0.0001058881,0.0001041325,0.0001023769,0.0001006213,9.87916e-05,9.74184e-05,9.60451e-05,9.46718e-05,9.32986e-05,9.19253e-05,9.05521e-05,8.91788e-05,8.78056e-05,8.64323e-05,8.5059e-05,8.36858e-05,8.23125e-05,8.09393e-05,7.9566e-05,7.81928e-05,7.68195e-05,7.54462e-05,7.4073e-05,7.26997e-05,7.13519e-05,7.00291e-05,6.87308e-05,6.74566e-05,6.6206e-05,6.49786e-05,6.3774e-05,6.25916e-05,6.14312e-05,6.02924e-05,5.91746e-05,5.80775e-05,5.70008e-05,5.59441e-05,5.49069e-05,5.3889e-05,5.28899e-05,5.19094e-05,5.0947e-05,5.00025e-05
LPG propane or butane,0.0001192264,0.0001172623,0.0001155067,0.0001137512,0.0001119956,0.00011024,0.0001084844,0.0001067288,0.0001049732,0.0001032176,0.000101462,9.97064e-05,9.78768e-05,9.65035e-05,9.51302e-05,9.3757e-05,9.23837e-05,9.10105e-05,8.96372e-05,8.8264e-05,8.68907e-05,8.55174e-05,8.41442e-05,8.27709e-05,8.13977e-05,8.00244e-05,7.86512e-05,7.72779e-05,7.59046e-05,7.45314e-05,7.31581e-05,7.17849e-05,7.04374e-05,6.91152e-05,6.78178e-05,6.65448e-05,6.52957e-05,6.407e-05,6.28674e-05,6.16873e-05,6.05294e-05,5.93932e-05,5.82783e-05,5.71843e-05,5.61109e-05,5.50577e-05,5.40242e-05,5.30101e-05,5.2015e-05,5.10386e-05,5.00806e-05,4.91405e-05
hydrogen,0.0001192264,0.0001172623,0.0001155067,0.0001137512,0.0001119956,0.00011024,0.0001084844,0.0001067288,0.0001049732,0.0001032176,0.000101462,9.97064e-05,9.78768e-05,9.65035e-05,9.51302e-05,9.3757e-05,9.23837e-05,9.10105e-05,8.96372e-05,8.8264e-05,8.68907e-05,8.55174e-05,8.41442e-05,8.27709e-05,8.13977e-05,8.00244e-05,7.86512e-05,7.72779e-05,7.59046e-05,7.45314e-05,7.31581e-05,7.17849e-05,7.04374e-05,6.91152e-05,6.78178e-05,6.65448e-05,6.52957e-05,6.407e-05,6.28674e-05,6.16873e-05,6.05294e-05,5.93932e-05,5.82783e-05,5.71843e-05,5.61109e-05,5.50577e-05,5.40242e-05,5.30101e-05,5.2015e-05,5.10386e-05,5.00806e-05,4.91405e-05
