Unit: $/(BTU/yr) - a measure of capacity of the fuel-burning equipment that would have been purchased in the absence of an electrification policy,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
electricity,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0
coal,0,4.69868e-05,4.693e-05,4.66038e-05,4.83469e-05,4.88939e-05,4.94455e-05,5.01042e-05,5.08319e-05,5.16671e-05,5.258e-05,5.34964e-05,5.42997e-05,5.51325e-05,5.59688e-05,5.67535e-05,5.74705e-05,5.81496e-05,5.88377e-05,5.95315e-05,6.0233e-05,6.09161e-05,6.16154e-05,6.2294e-05,6.29458e-05,6.35865e-05,6.4235e-05,6.48956e-05,6.55754e-05,6.6269e-05,6.69861e-05,6.77141e-05,6.84499e-05,6.91937e-05,6.99456e-05,7.07057e-05,7.1474e-05,7.22507e-05,7.30359e-05,7.38295e-05,7.46318e-05,7.54428e-05,7.62626e-05,7.70914e-05,7.79291e-05,7.87759e-05,7.9632e-05,8.04973e-05,8.13721e-05,8.22563e-05,8.31502e-05,8.40537e-05
natural gas,0,4.69868e-05,4.693e-05,4.66038e-05,4.83469e-05,4.88939e-05,4.94455e-05,5.01042e-05,5.08319e-05,5.16671e-05,5.258e-05,5.34964e-05,5.42997e-05,5.51325e-05,5.59688e-05,5.67535e-05,5.74705e-05,5.81496e-05,5.88377e-05,5.95315e-05,6.0233e-05,6.09161e-05,6.16154e-05,6.2294e-05,6.29458e-05,6.35865e-05,6.4235e-05,6.48956e-05,6.55754e-05,6.6269e-05,6.69861e-05,6.77141e-05,6.84499e-05,6.91937e-05,6.99456e-05,7.07057e-05,7.1474e-05,7.22507e-05,7.30359e-05,7.38295e-05,7.46318e-05,7.54428e-05,7.62626e-05,7.70914e-05,7.79291e-05,7.87759e-05,7.9632e-05,8.04973e-05,8.13721e-05,8.22563e-05,8.31502e-05,8.40537e-05
petroleum diesel,0,1.35961e-05,1.36961e-05,1.26652e-05,1.33352e-05,1.34495e-05,1.35819e-05,1.37182e-05,1.38481e-05,1.39515e-05,1.40364e-05,1.41057e-05,1.42561e-05,1.44127e-05,1.45696e-05,1.47191e-05,1.48681e-05,1.50191e-05,1.51774e-05,1.53374e-05,1.54972e-05,1.5662e-05,1.5832e-05,1.59965e-05,1.61708e-05,1.63519e-05,1.65219e-05,1.66939e-05,1.68584e-05,1.70182e-05,1.71835e-05,1.73459e-05,1.751e-05,1.76755e-05,1.78427e-05,1.80114e-05,1.81817e-05,1.83536e-05,1.85272e-05,1.87024e-05,1.88792e-05,1.90578e-05,1.9238e-05,1.94199e-05,1.96035e-05,1.97889e-05,1.9976e-05,2.01649e-05,2.03556e-05,2.05481e-05,2.07424e-05,2.09385e-05
heat,0,4.69868e-05,4.693e-05,4.66038e-05,4.83469e-05,4.88939e-05,4.94455e-05,5.01042e-05,5.08319e-05,5.16671e-05,5.258e-05,5.34964e-05,5.42997e-05,5.51325e-05,5.59688e-05,5.67535e-05,5.74705e-05,5.81496e-05,5.88377e-05,5.95315e-05,6.0233e-05,6.09161e-05,6.16154e-05,6.2294e-05,6.29458e-05,6.35865e-05,6.4235e-05,6.48956e-05,6.55754e-05,6.6269e-05,6.69861e-05,6.77141e-05,6.84499e-05,6.91937e-05,6.99456e-05,7.07057e-05,7.1474e-05,7.22507e-05,7.30359e-05,7.38295e-05,7.46318e-05,7.54428e-05,7.62626e-05,7.70914e-05,7.79291e-05,7.87759e-05,7.9632e-05,8.04973e-05,8.13721e-05,8.22563e-05,8.31502e-05,8.40537e-05
biomass,0,2.7392e-06,2.6526e-06,2.4907e-06,2.6171e-06,2.5913e-06,2.5552e-06,2.5177e-06,2.4857e-06,2.4617e-06,2.4448e-06,2.4365e-06,2.3893e-06,2.3384e-06,2.2886e-06,2.2412e-06,2.194e-06,2.1449e-06,2.0909e-06,2.0336e-06,1.9769e-06,1.915e-06,1.8503e-06,1.7853e-06,1.7165e-06,1.6443e-06,1.5743e-06,1.5028e-06,1.433e-06,1.3642e-06,1.2935e-06,1.2231e-06,1.1565e-06,1.0936e-06,1.0341e-06,9.778e-07,9.246e-07,8.743e-07,8.267e-07,7.817e-07,7.392e-07,6.989e-07,6.609e-07,6.249e-07,5.909e-07,5.588e-07,5.284e-07,4.996e-07,4.724e-07,4.467e-07,4.224e-07,3.994e-07
kerosene,0,1.35961e-05,1.36961e-05,1.26652e-05,1.33352e-05,1.34495e-05,1.35819e-05,1.37182e-05,1.38481e-05,1.39515e-05,1.40364e-05,1.41057e-05,1.42561e-05,1.44127e-05,1.45696e-05,1.47191e-05,1.48681e-05,1.50191e-05,1.51774e-05,1.53374e-05,1.54972e-05,1.5662e-05,1.5832e-05,1.59965e-05,1.61708e-05,1.63519e-05,1.65219e-05,1.66939e-05,1.68584e-05,1.70182e-05,1.71835e-05,1.73459e-05,1.751e-05,1.76755e-05,1.78427e-05,1.80114e-05,1.81817e-05,1.83536e-05,1.85272e-05,1.87024e-05,1.88792e-05,1.90578e-05,1.9238e-05,1.94199e-05,1.96035e-05,1.97889e-05,1.9976e-05,2.01649e-05,2.03556e-05,2.05481e-05,2.07424e-05,2.09385e-05
heavy or residual fuel oil,0,1.35961e-05,1.36961e-05,1.26652e-05,1.33352e-05,1.34495e-05,1.35819e-05,1.37182e-05,1.38481e-05,1.39515e-05,1.40364e-05,1.41057e-05,1.42561e-05,1.44127e-05,1.45696e-05,1.47191e-05,1.48681e-05,1.50191e-05,1.51774e-05,1.53374e-05,1.54972e-05,1.5662e-05,1.5832e-05,1.59965e-05,1.61708e-05,1.63519e-05,1.65219e-05,1.66939e-05,1.68584e-05,1.70182e-05,1.71835e-05,1.73459e-05,1.751e-05,1.76755e-05,1.78427e-05,1.80114e-05,1.81817e-05,1.83536e-05,1.85272e-05,1.87024e-05,1.88792e-05,1.90578e-05,1.9238e-05,1.94199e-05,1.96035e-05,1.97889e-05,1.9976e-05,2.01649e-05,2.03556e-05,2.05481e-05,2.07424e-05,2.09385e-05
LPG propane or butane,0,4.69868e-05,4.693e-05,4.66038e-05,4.83469e-05,4.88939e-05,4.94455e-05,5.01042e-05,5.08319e-05,5.16671e-05,5.258e-05,5.34964e-05,5.42997e-05,5.51325e-05,5.59688e-05,5.67535e-05,5.74705e-05,5.81496e-05,5.88377e-05,5.95315e-05,6.0233e-05,6.09161e-05,6.16154e-05,6.2294e-05,6.29458e-05,6.35865e-05,6.4235e-05,6.48956e-05,6.55754e-05,6.6269e-05,6.69861e-05,6.77141e-05,6.84499e-05,6.91937e-05,6.99456e-05,7.07057e-05,7.1474e-05,7.22507e-05,7.30359e-05,7.38295e-05,7.46318e-05,7.54428e-05,7.62626e-05,7.70914e-05,7.79291e-05,7.87759e-05,7.9632e-05,8.04973e-05,8.13721e-05,8.22563e-05,8.31502e-05,8.40537e-05
hydrogen,0,4.69868e-05,4.693e-05,4.66038e-05,4.83469e-05,4.88939e-05,4.94455e-05,5.01042e-05,5.08319e-05,5.16671e-05,5.258e-05,5.34964e-05,5.42997e-05,5.51325e-05,5.59688e-05,5.67535e-05,5.74705e-05,5.81496e-05,5.88377e-05,5.95315e-05,6.0233e-05,6.09161e-05,6.16154e-05,6.2294e-05,6.29458e-05,6.35865e-05,6.4235e-05,6.48956e-05,6.55754e-05,6.6269e-05,6.69861e-05,6.77141e-05,6.84499e-05,6.91937e-05,6.99456e-05,7.07057e-05,7.1474e-05,7.22507e-05,7.30359e-05,7.38295e-05,7.46318e-05,7.54428e-05,7.62626e-05,7.70914e-05,7.79291e-05,7.87759e-05,7.9632e-05,8.04973e-05,8.13721e-05,8.22563e-05,8.31502e-05,8.40537e-05
