Heat Rate by Electricity Fuel BTU/(MW*hour),preexisting,preexisting nonretiring (not used in U.S. dataset),newly built
hard coal,10331205.3,0,10331205.3
natural gas nonpeaker,8435571.3,7183619,8435571.3
nuclear,10446000.0,0,10446000.0
hydro,0.0,0,0.0
wind,0.0,0,0.0
solar PV,0.0,0,0.0
solar thermal,0.0,0,0.0
biomass,9510135.0,0,9510135.0
geothermal,0.0,0,0.0
petroleum,10425987.0,0,10425987.0
natural gas peaker,13174656.3,0,13174656.3
lignite,10331205.3,0,10331205.3
offshore wind,0.0,0,0.0
crude oil,7319030.0,0,7319030.0
heavy or residual fuel oil,10914352.0,0,10914352.0
municipal solid waste,18510312.0,0,18510312.0
