Mandated Construction (MW),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
hard coal,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,37.4604105572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natural gas nonpeaker,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,6.3782991202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydro,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,806.4516129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onshore wind,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,483.8709677419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solar PV,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,870.9677419355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solar thermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biomass,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,2.5805695259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geothermal,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,9.8387096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petroleum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natural gas peaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lignite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offshore wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crude oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heavy or residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
municipal solid waste,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0.0294011486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
