Fixed O&M ($/MW) - Preex.Retiring,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
hard coal,41200,43133.3333333333,45066.6666666667,47000,46800.0,46600.0,46400.0,46200.0,46000.0,45800.0,45600,45525.0,45450.0,45375.0,45300.0,45225.0,45150.0,45075.0,45000.0,44925.0,44850.0,44775.0,44700.0,44625.0,44550.0,44475.0,44400.0,44325.0,44250.0,44175.0,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100
natural gas nonpeaker,41100,41650.0,42200.0,42750,42064.2857142857,41378.5714285714,40692.8571428571,40007.1428571429,39321.4285714286,38635.7142857143,37950,37620.0,37290.0,36960.0,36630.0,36300.0,35970.0,35640.0,35310.0,34980.0,34650.0,34320.0,33990.0,33660.0,33330.0,33000.0,32670.0,32340.0,32010.0,31680.0,31350,31350,31350,31350,31350,31350,31350,31350,31350,31350,31350,31350,31350,31350,31350,31350,31350,31350,31350,31350,31350
nuclear,125000,130833.3333333333,136666.6666666666,142500,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500
hydro,37700,39466.6666666667,41233.3333333333,43000,42714.2857142857,42428.5714285714,42142.8571428571,41857.1428571429,41571.4285714286,41285.7142857143,41000,40850.0,40700.0,40550.0,40400.0,40250.0,40100.0,39950.0,39800.0,39650.0,39500.0,39350.0,39200.0,39050.0,38900.0,38750.0,38600.0,38450.0,38300.0,38150.0,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
onshore wind,60000,53333.3333333333,46666.6666666667,40000,39428.5714285714,38857.1428571429,38285.7142857143,37714.2857142857,37142.8571428571,36571.4285714286,36000,35700.0,35400.0,35100.0,34800.0,34500.0,34200.0,33900.0,33600.0,33300.0,33000.0,32700.0,32400.0,32100.0,31800.0,31500.0,31200.0,30900.0,30600.0,30300.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
solar PV,15000,12500.0,10000.0,7500,7400.0,7300.0,7200.0,7100.0,7000.0,6900.0,6800,6765.0,6730.0,6695.0,6660.0,6625.0,6590.0,6555.0,6520.0,6485.0,6450.0,6415.0,6380.0,6345.0,6310.0,6275.0,6240.0,6205.0,6170.0,6135.0,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100
solar thermal,15000,12500.0,10000.0,7500,7400.0,7300.0,7200.0,7100.0,7000.0,6900.0,6800,6765.0,6730.0,6695.0,6660.0,6625.0,6590.0,6555.0,6520.0,6485.0,6450.0,6415.0,6380.0,6345.0,6310.0,6275.0,6240.0,6205.0,6170.0,6135.0,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100
biomass,47600,49733.3333333333,51866.6666666667,54000,53385.7142857143,52771.4285714286,52157.1428571429,51542.8571428571,50928.5714285714,50314.2857142857,49700,49375.0,49050.0,48725.0,48400.0,48075.0,47750.0,47425.0,47100.0,46775.0,46450.0,46125.0,45800.0,45475.0,45150.0,44825.0,44500.0,44175.0,43850.0,43525.0,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200
geothermal,18000,48666.6666666667,79333.3333333333,110000,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000,109450.0,108900.0,108350.0,107800.0,107250.0,106700.0,106150.0,105600.0,105050.0,104500.0,103950.0,103400.0,102850.0,102300.0,101750.0,101200.0,100650.0,100100.0,99550.0,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000
petroleum,8000,8373.3333333333,8746.6666666667,9120,9120.0,9120.0,9120.0,9120.0,9120.0,9120.0,9120,9106.35,9092.7,9079.05,9065.4,9051.75,9038.1,9024.45,9010.8,8997.15,8983.5,8969.85,8956.2,8942.55,8928.9,8915.25,8901.6,8887.95,8874.3,8860.65,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847
natural gas peaker,43200,44400.0,45600.0,46800,45257.1428571429,43714.2857142857,42171.4285714286,40628.5714285714,39085.7142857143,37542.8571428571,36000,35960.0,35920.0,35880.0,35840.0,35800.0,35760.0,35720.0,35680.0,35640.0,35600.0,35560.0,35520.0,35480.0,35440.0,35400.0,35360.0,35320.0,35280.0,35240.0,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200
lignite,41200,43133.3333333333,45066.6666666667,47000,46800.0,46600.0,46400.0,46200.0,46000.0,45800.0,45600,45525.0,45450.0,45375.0,45300.0,45225.0,45150.0,45075.0,45000.0,44925.0,44850.0,44775.0,44700.0,44625.0,44550.0,44475.0,44400.0,44325.0,44250.0,44175.0,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100
offshore wind,72600,87989.3333333333,103378.6666666667,118768,116057.0,113346.0,110635.0,107924.0,105213.0,102502.0,99791,98865.95,97940.9,97015.85,96090.8,95165.75,94240.7,93315.65,92390.6,91465.55,90540.5,89615.45,88690.4,87765.35,86840.3,85915.25,84990.2,84065.15,83140.1,82215.05,81290,81290,81290,81290,81290,81290,81290,81290,81290,81290,81290,81290,81290,81290,81290,81290,81290,81290,81290,81290,81290
crude oil,8000,8373.3333333333,8746.6666666667,9120,9120.0,9120.0,9120.0,9120.0,9120.0,9120.0,9120,9106.35,9092.7,9079.05,9065.4,9051.75,9038.1,9024.45,9010.8,8997.15,8983.5,8969.85,8956.2,8942.55,8928.9,8915.25,8901.6,8887.95,8874.3,8860.65,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847
heavy or residual fuel oil,8000,8373.3333333333,8746.6666666667,9120,9120.0,9120.0,9120.0,9120.0,9120.0,9120.0,9120,9106.35,9092.7,9079.05,9065.4,9051.75,9038.1,9024.45,9010.8,8997.15,8983.5,8969.85,8956.2,8942.55,8928.9,8915.25,8901.6,8887.95,8874.3,8860.65,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847,8847
municipal solid waste,125000,130833.3333333333,136666.6666666666,142500,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500.0,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500
