Unit: $/MW,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Hard Coal,1646071.4285714282,1642857.1428571427,1639642.8571428573,1636428.571428571,1633214.2857142854,1630000.0,1626785.7142857146,1623571.4285714282,1620357.1428571427,1617142.8571428573,1613928.571428571,1610714.2857142854,1607500.0,1604285.7142857146,1601071.4285714282,1597857.1428571427,1594642.8571428573,1591428.571428571,1588214.2857142854,1585000.0,1581785.7142857146,1578571.4285714282,1575357.1428571427,1572142.8571428573,1568928.571428571,1565714.2857142854,1562500.0,1559285.7142857146,1556071.4285714282,1552857.1428571427,1549642.8571428573,1546428.571428571,1543214.2857142854,1540000,1536785.7142857146,1533571.4285714282,1530357.1428571427,1527142.8571428573,1523928.571428571,1520714.2857142854,1517500,1514285.7142857146,1511071.4285714282,1507857.1428571427,1504642.8571428573,1501428.571428571,1498214.2857142854,1495000,1491785.7142857146,1488571.4285714282,1485357.1428571427,1482142.8571428573
Natural Gas Nonpeaker,768642.8571428573,765714.2857142854,762785.7142857136,759857.1428571427,756928.5714285709,754000.0,751071.4285714282,748142.8571428573,745214.2857142854,742285.7142857136,739357.1428571427,736428.5714285709,733500.0,730571.4285714282,727642.8571428573,724714.2857142854,721785.7142857136,718857.1428571427,715928.5714285709,713000.0,710071.4285714282,707142.8571428573,704214.2857142854,701285.7142857136,698357.1428571427,695428.5714285709,692500.0,689571.4285714282,686642.8571428573,683714.2857142854,680785.7142857136,677857.1428571427,674928.5714285709,672000,669071.4285714282,666142.8571428573,663214.2857142854,660285.7142857136,657357.1428571427,654428.5714285709,651500,648571.4285714282,645642.8571428573,642714.2857142854,639785.7142857136,636857.1428571427,633928.5714285709,631000,628071.4285714282,625142.8571428573,622214.2857142854,619285.7142857136
Nuclear,7291.950474664,7254.5327840907,7217.1150935174,7179.6974029441,7142.2797123709,7104.8620217976,7067.4443312243,7030.026640651,6988.2841390043,6949.9003590009,6909.637032319,6862.3557971572,6816.8599648889,6769.0812891004,6720.2886687967,6678.7305550713,6635.2191510538,6582.4912432185,6539.3926935866,6493.801190477,6443.1665279172,6391.3325159169,6350.6892332334,6301.2988474992,6256.2474683815,6210.8926827013,6169.0029165539,6115.8731479106,6070.8464173785,6025.5582786132,5980.1364734248,5883.4503554028,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Hydro,2086214.2857142857,2078571.428571429,2070928.5714285728,2063285.7142857143,2055642.8571428584,2048000.0,2040357.1428571437,2032714.2857142857,2025071.428571429,2017428.5714285728,2009785.7142857143,2002142.8571428584,1994500.0,1986857.1428571437,1979214.2857142857,1971571.428571429,1963928.5714285728,1956285.7142857143,1948642.8571428584,1941000.0,1933357.1428571437,1925714.2857142857,1918071.428571429,1910428.5714285728,1902785.7142857143,1895142.8571428584,1887500.0,1879857.1428571437,1872214.2857142857,1864571.428571429,1856928.5714285728,1849285.7142857143,1841642.8571428584,1834000,1826357.1428571437,1818714.2857142857,1811071.428571429,1803428.5714285728,1795785.7142857146,1788142.8571428582,1780500,1772857.1428571437,1765214.2857142854,1757571.428571429,1749928.5714285728,1742285.7142857146,1734642.8571428582,1727000,1719357.1428571437,1711714.2857142854,1704071.428571429,1696428.5714285728
Onshore Wind,1479142.8571428582,1465714.2857142873,1452285.7142857164,1438857.1428571455,1425428.5714285746,1412000.0,1398571.428571429,1385142.8571428582,1371714.2857142873,1358285.7142857164,1344857.1428571455,1331428.5714285746,1318000.0,1304571.428571429,1291142.8571428582,1277714.2857142873,1264285.7142857164,1250857.1428571455,1237428.5714285746,1224000.0,1210571.428571429,1197142.8571428582,1183714.2857142873,1170285.7142857164,1156857.1428571455,1143428.5714285746,1130000.0,1116571.428571429,1103142.8571428582,1089714.2857142873,1076285.7142857164,1062857.1428571455,1049428.5714285746,1036000,1022571.4285714292,1009142.8571428582,995714.2857142874,982285.7142857164,968857.1428571456,955428.5714285746,942000,928571.4285714292,915142.8571428582,901714.2857142874,888285.7142857164,874857.1428571455,861428.5714285746,848000,834571.4285714291,821142.8571428582,807714.2857142873,794285.7142857164
Solar PV,757642.8571428582,745714.2857142873,733785.7142857164,721857.1428571455,709928.5714285746,698000.0,686071.4285714291,674142.8571428582,662214.2857142873,650285.7142857164,638357.1428571455,626428.5714285746,614500.0,602571.4285714291,590642.8571428582,578714.2857142873,566785.7142857164,554857.1428571455,542928.5714285746,531000.0,519071.4285714291,507142.8571428582,495214.2857142873,483285.7142857164,471357.1428571455,459428.5714285746,447500.0,435571.4285714291,423642.8571428582,411714.2857142873,399785.7142857164,387857.1428571455,375928.5714285746,364000,352071.4285714291,340142.8571428582,328214.2857142873,316285.7142857164,304357.1428571455,292428.5714285746,280500,268571.4285714291,256642.8571428582,244714.2857142873,232785.7142857164,220857.1428571455,208928.5714285746,197000,185071.4285714291,173142.8571428582,161214.2857142873,149285.7142857164
Solar Thermal,5124426.12,5082142.2299999995,5039858.34,4997574.45,4955289.57,4913005.68,4870721.79,4828437.9,4786153.02,4743869.13,4701585.24,4659301.35,4617017.46,4574732.58,4532448.69,4490164.8,4447880.91,4405597.02,4363312.14,4321028.25,4278744.36,4236460.47,4194176.58,4151891.7,4109607.81,4067323.92,4025040.03,3982755.15,3940471.26,3898187.37,3855903.48,3813619.59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Biomass,1993000.0,1980000.0,1967000.0,1954000.0,1941000.0,1928000.0,1915000.0,1902000.0,1889000.0,1876000.0,1863000.0,1850000.0,1837000.0,1824000.0,1811000.0,1798000.0,1785000.0,1772000.0,1759000.0,1746000.0,1733000.0,1720000.0,1707000.0,1694000.0,1681000.0,1668000.0,1655000.0,1642000.0,1629000.0,1616000.0,1603000.0,1590000.0,1577000.0,1564000,1551000.0,1538000.0,1525000.0,1512000.0,1499000.0,1486000.0,1473000,1460000.0,1447000.0,1434000.0,1421000.0,1408000.0,1395000.0,1382000,1369000.0,1356000.0,1343000.0,1330000.0
Geothermal,3963142.8571428503,3925714.285714283,3888285.714285717,3850857.1428571343,3813428.571428567,3776000.0,3738571.428571433,3701142.8571428503,3663714.285714283,3626285.714285717,3588857.1428571343,3551428.571428567,3514000.0,3476571.428571433,3439142.8571428508,3401714.2857142836,3364285.7142857164,3326857.1428571343,3289428.571428567,3252000.0,3214571.428571433,3177142.8571428508,3139714.2857142836,3102285.7142857164,3064857.1428571343,3027428.571428567,2990000.0,2952571.428571433,2915142.8571428508,2877714.2857142836,2840285.7142857164,2802857.1428571343,2765428.571428567,2728000,2690571.428571433,2653142.8571428508,2615714.2857142836,2578285.7142857164,2540857.1428571343,2503428.571428567,2466000,2428571.428571433,2391142.8571428508,2353714.2857142836,2316285.7142857164,2278857.1428571343,2241428.571428567,2204000,2166571.428571433,2129142.8571428508,2091714.2857142836,2054285.7142857164
Petroleum,803571.4285714286,802857.142857143,802142.8571428573,801428.5714285716,800714.2857142859,800000.0,799285.7142857143,798571.4285714286,797857.142857143,797142.8571428573,796428.5714285716,795714.2857142859,795000.0,794285.7142857143,793571.4285714286,792857.142857143,792142.8571428573,791428.5714285716,790714.2857142859,790000.0,789285.7142857143,788571.4285714286,787857.142857143,787142.8571428573,786428.5714285716,785714.2857142859,785000.0,784285.7142857143,783571.4285714286,782857.142857143,782142.8571428573,781428.5714285716,780714.2857142859,780000,779285.7142857143,778571.4285714286,777857.142857143,777142.8571428573,776428.5714285716,775714.2857142859,775000,774285.7142857143,773571.4285714286,772857.142857143,772142.8571428573,771428.5714285716,770714.2857142859,770000,769285.7142857143,768571.4285714286,767857.142857143,767142.8571428573
