Variable O&M ($/MWh)-Newly Built,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
coal,0.11,0.49,0.87,1.25,1.2428571429,1.2357142857,1.2285714286,1.2214285714,1.2142857143,1.2071428571,1.2,1.1975,1.195,1.1925,1.19,1.1875,1.185,1.1825,1.18,1.1775,1.175,1.1725,1.17,1.1675,1.165,1.1625,1.16,1.1575,1.155,1.1525,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15
natural gas nonpeaker,0.11,1.2733333333,2.4366666667,3.6,3.5857142857,3.5714285714,3.5571428571,3.5428571429,3.5285714286,3.5142857143,3.5,3.495,3.49,3.485,3.48,3.475,3.47,3.465,3.46,3.455,3.45,3.445,3.44,3.435,3.43,3.425,3.42,3.415,3.41,3.405,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
nuclear,3.0,7.1333333333,11.2666666667,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4
hydro,0.65,0.68,0.71,0.74,0.7357142857,0.7314285714,0.7271428571,0.7228571429,0.7185714286,0.7142857143,0.71,0.7075,0.705,0.7025,0.7,0.6975,0.695,0.6925,0.69,0.6875,0.685,0.6825,0.68,0.6775,0.675,0.6725,0.67,0.6675,0.665,0.6625,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
onshore wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar thermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass,3.0,3.1333333333,3.2666666667,3.4,3.3614285714,3.3228571429,3.2842857143,3.2457142857,3.2071428571,3.1685714286,3.13,3.1095,3.089,3.0685,3.048,3.0275,3.007,2.9865,2.966,2.9455,2.925,2.9045,2.884,2.8635,2.843,2.8225,2.802,2.7815,2.761,2.7405,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72
geothermal,0.25,0.2566666667,0.2633333333,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.2685,0.267,0.2655,0.264,0.2625,0.261,0.2595,0.258,0.2565,0.255,0.2535,0.252,0.2505,0.249,0.2475,0.246,0.2445,0.243,0.2415,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
petroleum,6.4,6.7,7.0,7.3,7.2342857143,7.1685714286,7.1028571429,7.0371428571,6.9714285714,6.9057142857,6.84,6.8285,6.817,6.8055,6.794,6.7825,6.771,6.7595,6.748,6.7365,6.725,6.7135,6.702,6.6905,6.679,6.6675,6.656,6.6445,6.633,6.6215,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61
