Variable O&M ($/MWh)-Preex.Retiring,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
coal,0.12,0.43,0.74,1.05,1.0442857143,1.0385714286,1.0328571429,1.0271428571,1.0214285714,1.0157142857,1.01,1.0085,1.007,1.0055,1.004,1.0025,1.001,0.9995,0.998,0.9965,0.995,0.9935,0.992,0.9905,0.989,0.9875,0.986,0.9845,0.983,0.9815,0.98,0.9785,0.977,0.9755,0.974,0.9725,0.971,0.9695,0.968,0.9665,0.965,0.9635,0.962,0.9605,0.959,0.9575,0.956,0.9545,0.953,0.9515,0.95
natural gas nonpeaker,0.1248,0.8898666667,1.6549333333,2.42,2.4085714286,2.3971428571,2.3857142857,2.3742857143,2.3628571429,2.3514285714,2.34,2.336,2.332,2.328,2.324,2.32,2.316,2.312,2.308,2.304,2.3,2.296,2.292,2.288,2.284,2.28,2.276,2.272,2.268,2.264,2.26,2.256,2.252,2.248,2.244,2.24,2.236,2.232,2.228,2.224,2.22,2.216,2.212,2.208,2.204,2.2,2.196,2.192,2.188,2.184,2.18
nuclear,1.87,1.87,1.87,1.87,1.8585714286,1.8471428571,1.8357142857,1.8242857143,1.8128571429,1.8014285714,1.79,1.7865,1.783,1.7795,1.776,1.7725,1.769,1.7655,1.762,1.7585,1.755,1.7515,1.748,1.7445,1.741,1.7375,1.734,1.7305,1.727,1.7235,1.72,1.7165,1.713,1.7095,1.706,1.7025,1.699,1.6955,1.692,1.6885,1.685,1.6815,1.678,1.6745,1.671,1.6675,1.664,1.6605,1.657,1.6535,1.65
hydro,0.53,0.5166666667,0.5033333333,0.49,0.4871428571,0.4842857143,0.4814285714,0.4785714286,0.4757142857,0.4728571429,0.47,0.4685,0.467,0.4655,0.464,0.4625,0.461,0.4595,0.458,0.4565,0.455,0.4535,0.452,0.4505,0.449,0.4475,0.446,0.4445,0.443,0.4415,0.44,0.4385,0.437,0.4355,0.434,0.4325,0.431,0.4295,0.428,0.4265,0.425,0.4235,0.422,0.4205,0.419,0.4175,0.416,0.4145,0.413,0.4115,0.41
onshore wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar thermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass,2.88,2.8033333333,2.7266666667,2.65,2.62,2.59,2.56,2.53,2.5,2.47,2.44,2.424,2.408,2.392,2.376,2.36,2.344,2.328,2.312,2.296,2.28,2.264,2.248,2.232,2.216,2.2,2.184,2.168,2.152,2.136,2.12,2.104,2.088,2.072,2.056,2.04,2.024,2.008,1.992,1.976,1.96,1.944,1.928,1.912,1.896,1.88,1.864,1.848,1.832,1.816,1.8
geothermal,0.21,0.21,0.21,0.21,0.2071428571,0.2042857143,0.2014285714,0.1985714286,0.1957142857,0.1928571429,0.19,0.1885,0.187,0.1855,0.184,0.1825,0.181,0.1795,0.178,0.1765,0.175,0.1735,0.172,0.1705,0.169,0.1675,0.166,0.1645,0.163,0.1615,0.16,0.1585,0.157,0.1555,0.154,0.1525,0.151,0.1495,0.148,0.1465,0.145,0.1435,0.142,0.1405,0.139,0.1375,0.136,0.1345,0.133,0.1315,0.13
petroleum,6.14,5.99,5.84,5.69,5.64,5.59,5.54,5.49,5.44,5.39,5.34,5.331,5.322,5.313,5.304,5.295,5.286,5.277,5.268,5.259,5.25,5.241,5.232,5.223,5.214,5.205,5.196,5.187,5.178,5.169,5.16,5.151,5.142,5.133,5.124,5.115,5.106,5.097,5.088,5.079,5.07,5.061,5.052,5.043,5.034,5.025,5.016,5.007,4.998,4.989,4.98
