Start Year Capacities (MW),preexisting,preexisting nonretiring,newly built
hard coal,34737.17,0.0,0
natural gas nonpeaker,4984.0,5348.44,0
nuclear,0.0,0.0,0
hydro,5031.15,0.0,0
onshore wind,153.83,0.0,0
solar PV,105.03,0.0,0
solar thermal,0.0,0.0,0
biomass,147.02,0.0,0
geothermal,2130.7,0.0,0
petroleum,4779.68,0.0,0
natural gas peaker,2842.03,0.0,0
biogas,42.15,0.0,0
lignite,0.0,0.0,0
offshore wind,0.0,0.0,0
crude oil,0.0,0.0,0
heavy or residual fuel oil,0.0,0.0,0
municipal solid waste,15.65,0.0,0
