Global Capacity (MW),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
hard coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas nonpeaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore wind,607804.0314673741,681371.59811876,754938.3579836997,828504.4823832354,902070.0973383118,975635.297613843,1049200.1558433597,1121222.809477046,1193207.425055689,1265159.438249793,1337083.296137417,1408982.6721757923,1454354.0181945674,1499746.3552090656,1545157.4640270318,1590585.4276282906,1636028.58142701,1680197.7520111771,1724348.2566176786,1768481.4155999315,1812598.4276515185,1856700.3835031393,1899173.391759626,1941610.960006906,1984015.1641012891,2026387.9208827256,2068731.0031150684,2109832.2301834417,2150994.4197746827,2192212.7308672476,2233482.8217879166,2274800.7874460295,2411444.9157484174,2463701.7682679445,2515958.6207874715,2568215.4733069986,2620472.3258265257,2672729.1783460528,2724986.03086558,2777242.883385107,2829499.735904634,2881756.588424161,2934013.440943688,2986270.293463215,3038527.1459827423,3090783.9985022694,3143040.8510217965,3195297.7035413384,3247554.5560608655,3299811.4085803926,3352068.2610999197,3404325.1136194468
solar PV,582000.0,714272.7272727643,846545.4545454704,978818.1818182349,1111090.9090909408,1243363.636363647,1375636.3636364113,1507909.0909091174,1640181.8181818235,1772454.5454545878,1904727.272727294,2037000.0,2158849.9999999767,2280699.9999999823,2402549.9999999884,2524399.9999999944,2646250.0,2768099.9999999767,2889949.9999999823,3011799.9999999884,3133649.9999999944,3255500.0,3377349.9999999767,3499199.9999999823,3621049.999999988,3742899.9999999944,3864750.0,3986599.9999999767,4108449.9999999823,4230299.999999989,4352149.999999994,4474000.0,4624974.79838708,4749892.778592348,4874810.758797646,4999728.739002913,5124646.719208181,5249564.699413478,5374482.679618746,5499400.659824014,5624318.640029281,5749236.620234579,5874154.6004398465,5999072.580645114,6123990.560850412,6248908.541055679,6373826.521260947,6498744.501466244,6623662.481671512,6748580.46187678,6873498.442082077,6998416.422287345
solar thermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petroleum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
