Fuel Price ($/BTU),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
Transportation Sector,3.93E-07,1.79E-06,2.99E-06,2.77E-06,2.69E-06,2.71E-06,2.65E-06,2.54E-06,2.55E-06,2.59E-06,2.58E-06,2.56E-06,2.58E-06,2.65E-06,2.62E-06,2.61E-06,2.60E-06,2.59E-06,2.59E-06,2.59E-06,2.60E-06,2.60E-06,2.60E-06,2.61E-06,2.61E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,,
Electricity Sector,3.93E-07,1.79E-06,2.99E-06,2.77E-06,2.69E-06,2.71E-06,2.65E-06,2.54E-06,2.55E-06,2.59E-06,2.58E-06,2.56E-06,2.58E-06,2.65E-06,2.62E-06,2.61E-06,2.60E-06,2.59E-06,2.59E-06,2.59E-06,2.60E-06,2.60E-06,2.60E-06,2.61E-06,2.61E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,,
Residential Buildings Sector,3.93E-07,1.79E-06,2.99E-06,2.77E-06,2.69E-06,2.71E-06,2.65E-06,2.54E-06,2.55E-06,2.59E-06,2.58E-06,2.56E-06,2.58E-06,2.65E-06,2.62E-06,2.61E-06,2.60E-06,2.59E-06,2.59E-06,2.59E-06,2.60E-06,2.60E-06,2.60E-06,2.61E-06,2.61E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,,
Commercial Buildings Sector,3.93E-07,1.79E-06,2.99E-06,2.77E-06,2.69E-06,2.71E-06,2.65E-06,2.54E-06,2.55E-06,2.59E-06,2.58E-06,2.56E-06,2.58E-06,2.65E-06,2.62E-06,2.61E-06,2.60E-06,2.59E-06,2.59E-06,2.59E-06,2.60E-06,2.60E-06,2.60E-06,2.61E-06,2.61E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,,
Industry Sector,3.93E-07,1.79E-06,2.99E-06,2.77E-06,2.69E-06,2.71E-06,2.65E-06,2.54E-06,2.55E-06,2.59E-06,2.58E-06,2.56E-06,2.58E-06,2.65E-06,2.62E-06,2.61E-06,2.60E-06,2.59E-06,2.59E-06,2.59E-06,2.60E-06,2.60E-06,2.60E-06,2.61E-06,2.61E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,,
District Heating Sector,3.93E-07,1.79E-06,2.99E-06,2.77E-06,2.69E-06,2.71E-06,2.65E-06,2.54E-06,2.55E-06,2.59E-06,2.58E-06,2.56E-06,2.58E-06,2.65E-06,2.62E-06,2.61E-06,2.60E-06,2.59E-06,2.59E-06,2.59E-06,2.60E-06,2.60E-06,2.60E-06,2.61E-06,2.61E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,,
LULUCF Sector,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
Geoengineering Sector,3.93E-07,1.79E-06,2.99E-06,2.77E-06,2.69E-06,2.71E-06,2.65E-06,2.54E-06,2.55E-06,2.59E-06,2.58E-06,2.56E-06,2.58E-06,2.65E-06,2.62E-06,2.61E-06,2.60E-06,2.59E-06,2.59E-06,2.59E-06,2.60E-06,2.60E-06,2.60E-06,2.61E-06,2.61E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,2.60E-06,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
