Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
agriculture and forestry 01T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal mining 05,639606739138.0,904887583599.0,1076781959330.0,1785058069044.0,2263206362277.0,2823661358121.0,3378758575958.0,4004978876952.0,4672549199004.0,5347150792012.0,6090933883710.0,6908180750818,7752518779499.0,8621030377938.0,9510752620482.0,10418686867862.0,11395728128428.0,12432685918425.0,13476875539936.0,14525235404171.0,15620667762420.0,16780258171782.0,17935699917862.0,19127922560673.0,20308881186641.0,21518103512321.0,22790260512239.0,24086563291856,25362293806402,26694074291742,27997828480542,29179561585459,30374137006121,31548841725742,32705583121228,33846032020889,34971658271970,36083760077995,37183488343021,38271866986868,39349809988411,40418135755642,41477579299248,42528802591625,43572403419273,44608922978136,45638852415344,46662638484005,47680688448245,48693374351976,49701036745621
oil and gas extraction 06,26755029.16,37851842.71,45042259.5,74669758.42,94670910.29,118114987.5,141334946.5,167530015.1,195454773.1,223673652.3,254786423.8,288972217,324291245.4,360621464.8,397838934.7,435818220.7,476688283.2,520064680.3000001,563743588.1,607596938.9,653419352.8,701925525.9,750258158.6,800129352.3,849529367.3,900111665.1,953326547.9000001,1007551459,1060915824,1116624783,1171161390,1220593801,1270563413,1319701824,1368088822,1415794297,1462879735,1509399439,1555401552,1600928906,1646019733,1690708266,1735025252,1778998381,1822652660,1866010725,1909093123,1951918542,1994504016,2036865110,2079016067
other mining and quarrying 07T08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food beverage and tobacco 10T12,155801887653.0,192990636682.0,195558151041.0,334403431982.0,444985857140.0,570707333987.0,707499106213.0,868924021719.0,1050476751828.0,1245769595341.0,1470644032994.0,1736603377407,2029108423232.0002,2349382448170.0,2698626066732.0,3078008616974.0,3501893507917.0,3973878401753.0,4480297636314.0,5022068243987.0,5616540807183.0,6257271720660.0,6935504004208.0,7669216235501.999,8441828095064.999,9271694849175.0,10144886042633.0,11074822933306,12042826977311,13086962590020,14168711766176,15210752400415,16278681504373,17354021476751,18436060952645,19524176789033,20617820799692,21716508813707,22819811596171,23927347271524,25038774967186,26153789454169,27272116606891,28393509539733,29517745305499,30644622062696,31773956635768,32905582406109,34039347482707,35175113110095,36312752278439
textiles apparel and leather 13T15,43819565715.0,51507323975.0,48752943443.0,81340413118.0,105756649176.0,132701258854.0,161148271134.0,194099991028.0,230383371520.0,268518797215.99997,311849557771.0,362615660968,417588811371.0,476944532581.0,540860892049.00006,609517893813.0,685688254555.0,769960706558.0,859617105194.0,954840931774.0,1058928761219.0,1170645924728.0,1288396945974.0,1415592181173.0,1549246236888.0,1692851317320.0,1843996487801.0,2005301843589,2173593794268,2355990932338,2545830414058,2728298499789,2915210113460,3103265840726,3292355858797,3482383964857,3673265528161,3864925800853,4057298516275,4250324719255,4443951784792,4638132590657,4832824816466,5027990347226,5223594763636,5419606904759,5615998491366,5812743800344,6009819382272,6207203815637,6404877492253
wood products 16,37264682195.0,43018948455.0,40316526159.0,66123771145.00001,84516764739.0,104258001215.0,124472859575.0,147402537913.0,172019247402.0,197134842408.0,225119548060.0,257401391689,291491981240.0,327398370668.0,365126076490.0,404678758060.0,447750092941.0,494516985628.99994,543050644963.0,593346267227.0,647299710636.0,703956146019.0,762204184442.0,823914090172.0,887170762934.0,953827358185.0,1022343310292.0,1094016798897,1166950365431,1244800940195,1323826080555,1397989523255,1473558784940,1548907900140,1624058000587,1699027597304,1773832974651,1848488515361,1923006970240,1997399683245,2071676780300,2145847328506,2219919471009,2293900541767,2367797163627,2441615332470,2515360489692,2589037584846,2662651129992,2736205246985,2809703708765
pulp paper and printing 17T18,1181307278.0,1385588958.0,1323146447.0,2192731637.0,2831772645.0,3529367559.0,4257142599.0,5093171684.0,6004595209.0,6951470031.0,8018922190.999999,9261596953,10593907468.0,12018291760.0,13537159317.0,15152875512.0,16931735825.0,18884655007.0,20941645399.0,23104766268.0,25450811392.0,27946300171.0,30550045243.999996,33339821467.0,36241656639.0,39334027431.0,42557022006.0,45967614137,49489286632,53280286124,57184990869,60905338131,64708977258,68523434216,72347670610,76180776820,80021952645,83870491330,87725766309,91587220148,95454355268,99326726118,103203932549,107085614178,110971445561,114861132066,118754406307,122651025067,126550766626,130453428439,134358825108
refined petroleum and coke 19,310231817.6,349555134.7,315102254.0,516399825.1,648225748.1,809075715.0,968491559.1,1148391533.0,1340246711.0,1534212120.0,1748118238.0,1983202755,2226157940.0,2476143637.0,2732306150.0,2993781060.0,3275192859.0,3573905364.0,3874774755.9999995,4176916104.0,4492663992.0,4826934888.0,5160080802.0,5503873780.0,5844487721.0,6193294174.0,6560272841.0,6934260005,7302379356,7686689427,8062979743,8404172933,8749102553,9088343944,9422443117,9751878365,10077070452,10398391002,10716169477,11030698985,11342241164,11651030294,11957276780,12261170120,12562881437,12862565655,13160363371,13456402473,13750799547,14043661093,14335084598
chemicals 20,22204000479.0,27986940825.0,29140662577.0,49927364499.0,66661210103.99999,85896081523.0,107116484894.0,132491520028.0,161489821335.0,193285700377.0,230515812616.0,275253120874,325509899942.0,381779338462.0,444589160725.0,514503149194.0,594368955609.0,685370395545.0,785757869564.0,896274765694.0,1020711185821.9999,1158743238681.0,1309593175441.0,1477574771515.0,1660565041124.0,1863279121065.0,2084214356265.0002,2327473624396,2590631552128,2883517936849,3199630418225,3510527815241,3830571955374,4155262872573,4484154525439,4816856189626,5153024140349,5492354791822,5834579004344,6179457333561,6526776044888,6876343753053,7227988575305,7581555708943,7936905361186,8293910972989,8652457689261,9012441036481,9373765775653,9736344904055,10100098783734
