Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
agriculture and forestry 01T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal mining 05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil and gas extraction 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other mining and quarrying 07T08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,514247952973.8838,543118284664.4628,577344545866.0197,599970319492.5669,625941997638.2142,653073289890.1992,686659299141.8092,721997221460.1263,759179954794.5262,798305417060.4493,839476823514.8329,886847350214.6072,936920422916.0095,989852139046.8376,1045807737325.2784,1104962140997.5474,1166384511015.0742,1231261171986.407,1299788943851.6575,1372176025723.0234,1448642664830.9304,1525359117170.167,1606191999945.6526,1691365389118.547,1781115749583.5151,1875692631448.1719,1969036352736.6726,2067086867288.7935,2170084946287.1697,2278283869995.307,2391950088215.678,2505616306436.0625,2619282524656.4375,2732948742876.7812,2846614961097.1562,2960281179317.5312,3073947397537.9062,3187613615758.2812,3301279833978.6562,3414946052199.0312,3528612270419.375,3642278488639.75,3755944706860.125,3869610925080.5,3983277143300.875,4096943361521.2505,4210609579741.625,4324275797962.0,4437942016182.375,4551608234402.719,4665274452623.094
wood products 16,96846337442.83789,100438718936.96973,105675602397.63875,107953159659.27724,110712013581.29848,113552741071.3647,117359315498.28268,121304239432.45479,125392940247.11063,129631076601.40742,134024549179.8443,139205564900.02994,144600087450.10202,150217446055.4156,156067404591.66653,162160183160.45596,168347248815.00482,174786489857.1936,181488853889.191,188465797152.4402,195729309871.23392,202757058054.45114,210056625305.2145,217639318560.95227,225516951902.69986,233701870977.78888,241437890391.59283,249452365863.18927,257756199655.9187,266360758585.70752,275277895382.3819,284195032179.0547,293112168975.73047,302029305772.40234,310946442569.0781,319863579365.7539,328780716162.4258,337697852959.10156,346614989755.77344,355532126552.4492,364449263349.125,373366400145.7969,382283536942.47266,391200673739.14844,400117810535.8203,409034947332.4961,417952084129.1719,426869220925.84375,435786357722.51953,444703494519.1953,453620631315.8672
pulp paper and printing 17T18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined petroleum and coke 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chemicals 20,1610296480128.7344,1824598307449.668,2134725350761.3916,2278845733460.2134,2442291206638.905,2617600976592.427,2827228888200.858,3053748772822.6514,3298531233951.758,3563058944414.422,3848935889645.603,4176945885764.4956,4533051618402.392,4919673037170.761,5339439794942.334,5795209538471.636,6284075061500.211,6814400458294.501,7389722443930.402,8013881356053.485,8691047403529.645,9400710690264.51,10168660648055.357,10999714619602.385,11899090772861.908,12872441688767.91,13881314516232.748,14969702143550.7,16143909291624.477,17410743790739.54,18777556999367.8,20144370207996.0,21511183416624.0,22877996625252.5,24244809833880.5,25611623042509.0,26978436251137.0,28345249459765.5,29712062668393.5,31078875877022.004,32445689085650.0,33812502294278.5,35179315502906.5,36546128711535.0,37912941920163.0,39279755128791.5,40646568337419.5,42013381546048.0,43380194754676.5,44747007963304.5,46113821171933.0
