Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
agriculture and forestry 01T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal mining 05,485134683929421.0,534232549784712.0,780705988643618.0,918168603937316.0,997138714986634.0,1055370000000000.0,1097240000000000.0,1125189999999999.9,1133340000000000.0,1146560000000000.0,1152570000000000.0,1155760000000000.0,1163630000000000.0,1164340000000000.0,1163820000000000.0,1162050000000000.0,1159450000000000.0,1155610000000000.0,1150510000000000.0,1144160000000000.0,1136550000000000.0,1123989999999999.9,1110459999999999.9,1091160000000000.1,1075840000000000.0,1055029999999999.9,1039710000000000.0,1019200000000000.1,998134901440168.0,976552822282657.9,954495284501244.0,934495847309160.0,916298197332208.0,899686886055510.0,884479497969216.0,870520553415962.0,857676713836894.0,845832976004740.0,834889625161929.0,824759776187950.0,815367374520945.0,806645559571758.0,798535316194312.0,790984356746885.0,783946189017679.0,777379334935347.0,771246672353199.0,765514877867102.0,760153953025396.0,755136819723996.0,750438973280089.0
oil and gas extraction 06,3223311746.0,3549525751.0,5187134351.0,6100457758.0,6625147695.0,7012018509.0,7290229776.0,7475967108.0,7530074931.000001,7617910681.0,7657865166.999999,7679020181.999999,7731345100.0,7736048526.999999,7732589534.999999,7720861239.0,7703594613.999999,7678046721.000001,7644174041.0,7601959079.999999,7551412704.0,7467993810.0,7378074145.0,7249845725.0,7148063145.0,7009784269.0,6907968453.0,6771720599.0,6631766515.0,6488371760.0,6341817983.0,6208938551.0,6088030480.0,5977662295.0,5876621997.0,5783876557.0,5698540051.0,5619848379.0,5547139021.0,5479834699.0,5417430093.0,5359480972.0,5305595229.0,5255425458.0,5208662756.0,5165031536.0,5124285154.0,5086202203.0,5050583368.0,5017248739.0,4986035503.0
other mining and quarrying 07T08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,594571345335.0,555428851690.0,668362532428.0,796853986814.0,893539669790.0,957282191495.0,1016193365770.0001,1064948252939.0,1097091311648.0,1136029756778.0,1169699083732.0,1207671189029.0,1252650075912.0,1291996241361.0,1331838660083.0,1372073135116.0,1411753516187.0,1451575419626.0,1491414451854.0,1531138977754.0,1570610519170.0,1600141128172.0,1628987957950.0,1649755790842.0,1676796066485.0,1695399873699.0,1717377300947.0,1730673001773.0,1742564617037.0,1752962232171.0,1761780381096.0,1770491849941.0,1779109924516.0,1787645772428.0,1796108849050.0,1804507213549.0,1812847777429.0,1821136501795.0,1829378555286.0,1837578441526.0,1845740102745.0,1853867004610.0,1861962206129.0,1870028417589.0,1878068048881.0,1886083249988.0,1894075945107.9998,1902047861535.0,1910000554216.0,1917935426724.0,1925853749240.0002
textiles apparel and leather 13T15,44434122377.0,39929397516.0,45959349636.0,53478162119.0,58551914638.0,61275239581.99999,63565661005.0,65126080060.0,65618241043.0,66481159556.0,67000607688.0,67735290045.00001,68821074824.0,69556879333.0,70287450287.0,71008393283.0,71672993016.0,72319908746.0,72944955205.0,73543994506.0,74112952291.0,74205280769.0,74268403866.0,73973389735.0,73971966788.0,73612796112.0,73418650282.0,72875719204.0,72302653403.0,71698290041.0,71061711319.0,70499067730.0,70001151481.0,69560222809.0,69169728624.0,68824083481.0,68518497330.0,68248838799.0,68011525738.0,67803436891.0,67621840074.0,67464333392.00001,67328796785.0,67213351873.99999,67116328475.00001,67036236531.0,66971742468.0,66921649176.00001,66884878991.0,66860459163.00001,66847509384.00001
wood products 16,27939678141964.0,25508173093628.0,29914164705523.0,35169386929277.0,38904427675682.0,41133585942490.0,43109351814878.0,44619500833996.0,45414902880052.0,46479274336042.0,47316113946637.0,48316696554345.0,49583553358134.0,50614155178015.0,51654344100372.0,52700781630924.0,53718275788652.0,54734868986250.0,55746985717155.0,56750954050303.0,57743018502267.0,58371233363584.0,58980137864628.0,59305294848367.0,59865920193062.0,60136523217758.0,60539875763772.0,60652037490643.0,60732496169337.01,60779433578405.0,60791200516397.99,60822350186124.01,60870468685465.0,60933526968422.01,61009807086461.0,61097844766890.0,61196384256940.0,61304342481898.0,61420780350446.99,61544879597924.0,61675923959451.01,61813283756930.0,61956403198895.0,62104789852014.0,62258005863017.0,62415660600692.01,62577404456952.01,62742923599418.0,62911935509372.0,63084185171277.0,63259441805502.01
pulp paper and printing 17T18,10790561991871.0,9463675381373.0,10476583597147.0,12180485779625.0,13096828290235.0,13870665136865.0,14429757524772.0,14805761869350.0,14920796356675.0,15102304851371.0,15188553384062.998,15237149753032.0,15347271180307.002,15362551983586.0,15361298812704.998,15343307937244.998,15314015842941.002,15267979998870.002,15205119695957.998,15125405346837.0,15028863275304.0,14866643435644.0,14691225376317.0,14439265922585.0,14239727932193.0,13967247256594.0,13767196885960.0,13498316376190.0,13221836901974.0,12938296207491.0,12648263874739.0,12385325940954.0,12146108102248.0,11927774030771.0,11727922270235.0,11544505968367.0,11375769755129.0,11220199640711.0,11076482904324.0,10943475724268.0,10820176860538.0,10705706109568.0,10599286551162.0,10500229831101.0,10407923890604.0,10321822680845.0,10241437497695.0,10166329646559.0,10096104205040.0,10030404696414.0,9968908522429.0
refined petroleum and coke 19,125194071494.00002,109799290638.0,121551236800.0,141320221197.0,151951794406.0,160889519724.0,167335483171.0,171658487041.0,172957066838.0,175027786437.0,175995993078.0,176529536218.0,177777318638.0,177927874236.0,177888379088.0,177656435681.0,177294950218.0,176740867689.0,175993227912.0,175051665293.0,173916463599.0,172022358538.0,169976677094.0,167046573687.0,164724037419.0,161558761573.0,159232276603.0,156110624243.0,152902024364.0,149612658863.0,146249078900.0,143199573984.0,140425029584.0,137892567328.0,135574349818.0,133446650188.0,131489120398.0,129684210456.99998,128016703462.0,126473340369.0,125042514923.00002,123714023908.0,122478861359.0,121329047955.0,120257488783.0,119257854112.00002,118324478940.0,117452277973.0,116636673316.0,115873532734.0,115159116707.0
chemicals 20,133857156972002.0,131326454759471.0,167926886920612.0,204112595928244.0,233434848783795.0,255167221282014.0,276478558852136.0,295853235722272.0,311323323261834.0,329408088429853.0,346693453245657.0,366012112082791.0,388326941695869.0,409820349908033.0,432404326540427.0,456101906783669.0,480649558608877.0,506328318867514.0,533152164658730.06,561131444143849.0,590272531571976.0,616898355842244.0,644439538773401.0,669933223752348.0,699164487239057.0,726105399627818.0,755726285199263.0,782762567568653.0,810340299760249.0,838425747314125.0,866982497537988.0,893577256521090.0,918454368294853.0,941819220341892.0,963845709717763.0,984682055478152.0,1004460000000000.0,1023280000000000.0,1041240000000000.0,1058420000000000.0,1074910000000000.0,1090750000000000.0,1106010000000000.0,1120740000000000.0,1134980000000000.0,1148770000000000.0,1162140000000000.0,1175140000000000.0,1187780000000000.0,1200090000000000.0,1212090000000000.0
