Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
agriculture and forestry 01T03,10377167073326.0,10446738806195.0,14172485842225.0,14455157006688.0,14573564416386.0,14578575605069.0,14151143166960.0,13717853447372.0,13331710160667.0,12981183010070.0,12718862596792.0,12428858662164.0,12161577719700.0,11886011771320.0,11601455747810.0,11310084708763.0,11019695078059.0,10723772819223.0,10423668981369.0,10120043886259.0,9823569753741.0,9487192394477.0,9154171358929.0,8824988490884.0,8500044455894.001,8179724185063.0,7813758903648.999,7525666161157.0,7179658918747.0,6845327852377.0,6522493821670.0,6234630752009.0,5987866491845.0,5757930039400.0,5547585783253.0,5354414317505.0,5176378844624.0,5011752419089.0,4859061185068.0,4717039651147.0,4584595125744.0,4460779196465.0,4344764677747.0,4235826841503.9995,4133328030254.0,4036704962328.0005,3945458195198.0,3859143330713.0,3777363635269.0,3699763816278.0,3626024748942.0
coal mining 05,63178229678592.99,81236993818250.0,147361158837223.0,155512962302124.0,159906748388235.0,166144490069613.0,167466391632364.0,168292672499866.0,169340902734254.0,170593475140642.0,172708311164826.0,174240740807894.0,175868229441564.0,177138431978072.0,178054971658147.0,178622147521607.0,178959932125979.0,178964701689558.0,178644206408602.0,178007517016900.0,177240253474483.0,175479351624301.0,173490588052880.0,171285446371402.0,168875998156285.0,166274819801382.0,162441483427599.0,159936487784178.0,155917868981911.0,151847057496513.0,147734951333402.0,146042683931168.0,143255513969217.0,140642056496267.0,138295459898379.0,136182769994943.0,134276244027386.0,132552359661312.02,130991041839754.02,129575053590327.0,128289511608123.98,127121497782390.0,126059745205657.0,125094382520529.0,124216724338676.0,123419098327845.0,122694701694336.02,122037481391423.0,121442033600399.0,120903518961267.0,120417590747336.0
oil and gas extraction 06,4762965369.0,6124403773.0,11109461279.0,11724020404.0,12055265061.0,12525524322.0,12625181615.0,12687474389.0,12766499780.0,12860930393.0,13020366496.0,13135895364.0,13258590666.0,13354350404.0,13423447730.0,13466206747.0,13491672107.0,13492031682.0,13467869752.0,13419870156.0,13362026660.0,13229273422.0,13079341839.0,12913097651.0,12731450928.0,12535349795.0,12246357075.0,12057507094.0,11754546054.0,11447650241.0,11137641250.0,11010062319.0,10799939400.0,10602912553.0,10426004171.0,10266729863.0,10122998119.0,9993035605.0,9875328877.0,9768578450.0,9671662281.0,9583606484.0,9503561652.0,9430783591.0,9364617516.0,9304485013.0,9249873225.0,9200325817.0,9155435398.0,9114837132.0,9078203322.0
other mining and quarrying 07T08,552173652581.0,715208248066.0,1029522083547.0,1217064024180.0,1370155749230.0,1512453310853.0,1607756054057.0,1693693111758.0,1777583689208.0,1859922837972.0,1948716393905.0002,2028365862135.9998,2106602738977.0,2178171190358.0,2242981613348.0,2300971666974.0,2353617182325.0,2399529324700.0,2438738669204.0,2471308562937.0,2499806319347.0,2511948689354.0,2518395542469.0,2519341744971.0,2514997143476.0,2505585175161.0,2475289267498.0,2463069873342.0,2425479466513.0,2384897342337.0,2341597818150.0,2304722404911.0,2277436524419.0,2251662018962.0,2229027290093.0,2209144612317.0,2191687575612.0002,2176379425754.0,2162983967781.0002,2151298398483.0002,2141147606944.0,2132379603923.0,2124861827566.0,2118478135495.0,2113126338961.0002,2108716168422.0,2105167584971.0002,2102409370921.0,2100377947138.0,2099016375679.0,2098273514724.0002
food beverage and tobacco 10T12,13567195885895.0,14852415056625.0,22272187817970.0,23877146693974.0,25400902863064.0,26765422137995.0,27595976665247.0,28390137478692.0,29266639996081.0,30225940316965.0,31391380940079.004,32655996764534.004,34005222716714.0,35352997147777.0,36695740085351.0,38029600619439.0,39338122347004.0,40629746691662.0,41900467941231.0,43146266290516.0,44407055645202.0,45336039089848.0,46228379110579.0,47080933269944.0,47890652963167.0,48654599648412.0,48894848562286.0,49524174420047.0,49670019158339.0,49767894254759.0,49816909921760.0,49918961394872.0,50157626065306.0,50367914945360.0,50592968774775.0,50830964255896.0,51080366430009.0,51339873847149.0,51608375789235.0,51884918564480.0,52168678705438.0,52458941475448.0,52755083496060.0,53056558602192.0,53362886246371.0,53673641931762.0,53988449271587.0,54306973361270.0,54628915216895.0,54954007085067.0,55282008468936.0
textiles apparel and leather 13T15,875735349787.0,935083286172.0,1348478113870.0,1431712631048.0,1509150479135.0,1576438916372.0,1612022218924.0,1645549745852.0,1683933141355.0,1727130522677.0,1782088509518.0,1842600611979.0,1907811469254.0,1972906382053.0002,2037756428492.0,2102220600667.0,2165466754799.9998,2228041020797.0,2289800402038.0,2350602794532.0,2412694332191.0,2457338614744.0,2500680164843.0,2542611629284.0,2583030120142.0,2621837719596.0,2633353625725.0,2666799553647.0,2675220896090.0,2682097466833.0,2687403332181.0,2695340797568.0,2710463032346.0,2723888458137.0,2737967638923.0,2752619843649.0,2767777108186.0,2783381807588.0,2799384762037.0,2815743744450.0,2832422293748.0,2849388763183.0,2866615551117.0,2884078474726.0,2901756256573.0,2919630101000.0,2937683342543.0,2955901152464.0,2974270292506.0,2992778907218.0,3011416348001.0
wood products 16,9693402298907.0,10217913270626.0,14681193355626.0,15374166747170.0,15985282143989.0,16472179433832.0,16617496487632.0,16736363914194.0,16899182530465.0,17103790581123.0,17416416584465.0,17772944876020.0,18163476292918.0,18541393358646.0,18905924944406.0,19256238512660.0,19585302847821.0,19898758839155.0,20195901406685.0,20476078193428.0,20759227640359.0,20885987550552.0,20997586037521.0,21093704864459.0,21174084428905.0,21238524202287.0,21082028503924.0,21101818970545.0,20924610616627.0,20738756187498.0,20544420083070.0,20390450995656.0,20307726175726.0,20226684780713.0,20163238986723.0,20115215943899.0,20080786420019.0,20058399458576.0,20046731400967.0,20044645719071.0,20051161074972.0,20065425706781.0,20086696725500.0,20114323258397.0,20147732630187.0,20186418961929.0,20229933708125.0,20277877758209.0,20329894808776.0,20385665774283.0,20444904051200.0
pulp paper and printing 17T18,23082056701630.0,24606555909905.0,35819570590555.0,37788263137727.0,39578398939980.0,41079715259061.0,41739371196228.0,42336065635086.0,43047598234480.0,43870627073880.0,44978250018101.0,46209268826523.0,47539864805929.0,48848762503031.0,50133030910093.0,51389522087960.0,52598385440389.0,53773546032896.0,54912058272881.0,56011079765208.0,57124393511178.0,57810790091125.0,58455671041300.0,59057237931534.0,59613850515843.0,60124034101665.0,60003431795349.0,60378439142441.0,60183266734537.0,59953600100921.0,59689530591102.0,59516834067789.0,59530249922429.0,59529805623535.0,59564364429879.0,59629603869494.0,59721885032412.0,59838122585326.0,59975683360929.0,60132306452453.0,60306039674560.0,60495188608800.0,60698275418649.0,60914005316470.0,61141239073586.01,61378970339953.01,61626306819525.01,61882454557656.0,62146704756419.0,62418422655745.99,62697038112367.0
refined petroleum and coke 19,751979790961.0,770087920918.0,1058210771570.0001,1103991533249.0,1123917219580.0,1168228800933.0,1177963279150.0,1184187220254.0,1191950303523.0,1201132185807.0,1216369625299.0,1227491643920.0,1239270033209.0,1248518164018.0,1255260865564.0,1259527830338.0,1262164659565.0,1262440380385.0,1260409276472.0,1256135026295.0,1250927432045.0,1238694570141.0,1224840400825.0,1209446146916.0,1192597216292.0,1174382613897.0,1147453169589.0,1129895420543.0,1101633571887.0,1072991447993.9999,1044046601698.0001,1011456375930.0,990743537215.0,971337615758.0,953870363024.0001,938102376220.0,923832112056.0,910888687431.0,899126262739.0,888419616254.0,878660624978.0,869755442494.0,861622217906.0,854189238599.0,847393407684.0,841178987838.0,835496558692.0,830302146573.0,825556494269.0,821224445199.0,817274421624.0
chemicals 20,59002990099762.0,67593201343564.01,107285999422454.0,117014925073107.0,126708048352986.02,135967482500686.0,142828602163275.0,149775725328127.0,157449582479132.0,165893007879105.0,175840311973102.0,186769794097195.0,198653919197157.0,211034963342579.0,223916687482446.0,237300541821167.0,251106651135745.0,265409296759702.0,280205612181834.03,295491303333906.0,311568836687721.0,325989016224419.0,340786486316286.0,355951229795897.0,371472092739899.0,387336819896204.0,399648706704214.0,415763017437233.0,428451219545258.0,441268112068645.0,454199961701538.0,464995446745418.0,476657736080570.0,487360436167715.94,497594946620548.06,507419083354429.94,516881519191827.0,526023522502015.94,534880313635593.0,543482133712751.94,551855094500834.0,560021859964904.06,568002197143824.0,575813424676784.0,583470780499227.0,590987725207167.0,598376193849138.0,605646806092527.0,612809042577405.0,619871393638621.0,626841485318692.0
rubber and plastic products 22,11777261140930.0,12158780998791.0,17071172178439.002,17594314089720.0,18007952018287.0,18270427393763.0,18151534158783.0,18007847379742.0,17915495220412.0,17870400628234.0,17939198258320.0,18052478097055.0,18199026081235.0,18331993508277.0,18451765011208.0,18558673127853.0,18647154763148.0,18723848889677.0,18789193444246.0,18843663583030.0,18906470321069.0,18834376059563.0,18758066914442.0,18677936857119.0,18594398785387.0,18507880560715.0,18241567601447.0,18140892805886.0,17884039213236.0,17633946030667.0,17390687539792.998,17188388381334.002,17051868147367.998,16921686333055.0,16810622746666.0,16716316511825.0,16636780104576.0,16570328357133.0,16515523068731.002,16471129362332.0,16436080980414.0,16409452454281.998,16390436609392.002,16378326250054.998,16372499144804.0,16372405638705.0,16377558371590.998,16387523696054.002,16401914476146.002,16420384014408.002,16442620906211.0
