Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
agriculture and forestry 01T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal mining 05,6162680289367.206,7837696792017.212,10479784380606.215,10824569286728.158,11016164163103.248,11432065220577.398,11847966278051.695,12263867335525.848,12679768393000.145,13095669450474.295,13511570507948.447,13927471565422.744,14343372622896.895,14759273680371.191,15175174737845.342,15591075795319.64,16006976852793.79,16422877910268.086,16838778967742.238,17254680025216.533,17670581082690.684,18086482140164.98,18502383197639.133,18918284255113.43,19334185312587.582,19750086370061.88,20165987427536.03,20581888485010.324,20997789542484.477,21413690599958.625,21829591657432.918,22245492714907.125,22661393772381.375,23077294829855.75,23493195887330.0,23909096944804.25,24324998002278.625,24740899059752.875,25156800117227.125,25572701174701.5,25988602232175.75,26404503289650.0,26820404347124.375,27236305404598.625,27652206462073.0,28068107519547.25,28484008577021.5,28899909634495.875,29315810691970.125,29731711749444.375,30147612806918.75
oil and gas extraction 06,9426963196.22938,11989211792.964525,16030775088.372866,16558187588.780333,16851267509.101748,17487465361.008205,18123663212.91489,18759861064.821354,19396058916.728035,20032256768.634495,20668454620.540955,21304652472.447636,21940850324.354095,22577048176.26078,23213246028.16724,23849443880.073925,24485641731.980385,25121839583.887066,25758037435.79353,26394235287.70021,27030433139.60667,27666630991.51335,28302828843.419815,28939026695.3265,29575224547.232967,30211422399.13965,30847620251.046112,31483818102.95279,32120015954.859257,32756213806.76571,33392411658.672394,34028609510.578854,34664807362.485596,35301005214.392334,35937203066.29907,36573400918.20557,37209598770.112305,37845796622.01904,38481994473.92578,39118192325.832275,39754390177.73901,40390588029.64575,41026785881.55249,41662983733.458984,42299181585.36572,42935379437.27246,43571577289.1792,44207775141.08594,44843972992.99243,45480170844.89917,46116368696.80591
other mining and quarrying 07T08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,33777131549637.0,37719326387040.0,43073095243609.49,45959379336857.12,49157434506914.2,52506240529951.414,56442713864416.75,60600940796316.91,64991644385979.14,69625936805160.92,74515319697307.16,80036681040910.28,85888503908445.47,92087728061557.88,98651927348774.11,105599306392396.11,112840724341224.17,120488795171493.17,128562295136570.17,137080489577541.05,146063097622046.9,155117098695937.88,164624249186805.56,174601333427403.4,185065147231813.75,196032407076687.03,206855382679137.0,218138790372012.62,229893315433697.62,242128868448599.28,254854420942756.44,267579973436912.03,280305525931068.03,293031078425224.0,305756630919384.0,318482183413540.0,331207735907696.0,343933288401856.0,356658840896012.0,369384393390168.0,382109945884324.0,394835498378484.0,407561050872640.0,420286603366796.0,433012155860956.0,445737708355112.0,458463260849268.0,471188813343424.0,483914365837584.0,496639918331740.0,509365470825896.0
textiles apparel and leather 13T15,6413970197445.25,6781051909366.375,7216016107966.685,7503976326309.194,7834220671752.378,8179455798888.874,8606079099631.337,9055279401994.324,9528271552242.047,10026337017756.678,10550827622282.55,11154036258562.342,11792123408030.729,12467131382637.764,13181223765640.543,13936692720086.258,14721880519354.63,15551837969123.463,16429151995347.01,17356561226321.572,18336965038785.83,19321969665528.562,20360603321275.49,21455828916367.5,22610775657415.547,23828748536168.25,25032851809492.14,26298631096256.36,27629292285471.258,29028210554386.438,30498939454802.023,31969668355217.496,33440397255633.0,34911126156048.5,36381855056464.0,37852583956879.5,39323312857295.0,40794041757711.0,42264770658126.5,43735499558542.0,45206228458957.5,46676957359373.0,48147686259788.5,49618415160204.5,51089144060620.0,52559872961035.5,54030601861451.0,55501330761866.5,56972059662282.0,58442788562698.0,59913517463113.5
wood products 16,9003437348272.875,9319909327760.625,9783817818910.768,9981641437052.625,10223676047616.627,10472192569493.373,10809899923674.123,11158930276220.4,11519681798763.322,11892567473189.283,12278015681867.78,12734545324497.803,13208533171101.572,13700669471617.506,14211672847452.326,14742291505667.293,15278685518700.967,15835199536042.322,16412616027930.479,17011749197354.229,17633446333722.707,18230034077185.625,18847554429085.82,19486773271795.777,20148485859479.17,20833518001432.06,21473769811687.758,22134510234231.137,22816426462975.5,23520229999335.652,24246657560587.734,24973085121840.0,25699512683092.0,26425940244344.25,27152367805596.25,27878795366848.25,28605222928100.5,29331650489352.5,30058078050604.5,30784505611856.75,31510933173108.75,32237360734360.75,32963788295613.0,33690215856865.0,34416643418117.0,35143070979369.25,35869498540621.25,36595926101873.25,37322353663125.5,38048781224377.5,38775208785629.5
pulp paper and printing 17T18,39011149647454.5,41133674388183.5,44136892636595.266,45573566971558.52,47242610630730.11,48975427440213.07,51165133173729.29,53454564130782.91,55848361490609.16,58351387914494.945,60968738437747.15,63997605999669.72,67179055260821.69,70520895110463.61,74031341257379.97,77719037823801.03,81515084648015.84,85499311985837.52,89681206612732.6,94070742667588.73,98678407243972.17,103240250041542.73,108016589945573.62,113017702481285.94,118254365496999.14,123737884243573.36,129065656601314.77,134626826355668.48,140431813956229.05,146491514744628.06,152817321055824.44,159143127367022.0,165468933678218.0,171794739989414.0,178120546300610.0,184446352611806.0,190772158923004.0,197097965234200.0,203423771545396.0,209749577856592.0,216075384167788.0,222401190478984.0,228726996790182.0,235052803101378.0,241378609412574.0,247704415723770.0,254030222034966.0,260356028346164.0,266681834657360.0,273007640968555.97,279333447279751.97
refined petroleum and coke 19,33808137193897.195,34244262163698.47,34686013145610.176,35417888022982.55,35687063971957.22,37049260727020.21,38411457482082.67,39773654237145.664,41135850992208.125,42498047747271.12,43860244502333.586,45222441257396.58,46584638012459.04,47946834767522.03,49309031522584.49,50671228277647.484,52033425032709.945,53395621787772.94,54757818542835.92,56120015297898.39,57482212052961.38,58844408808023.85,60206605563086.84,61568802318149.305,62930999073212.29,64293195828274.76,65655392583337.74,67017589338400.21,68379786093463.195,69741982848526.19,71104179603588.64,72466376358651.5,73828573113714.0,75190769868776.5,76552966623838.5,77915163378901.0,79277360133963.5,80639556889026.0,82001753644088.5,83363950399151.0,84726147154213.5,86088343909276.0,87450540664338.5,88812737419401.0,90174934174463.0,91537130929525.5,92899327684588.0,94261524439650.5,95623721194713.0,96985917949775.5,98348114704838.0
chemicals 20,150063307270760.0,170034065052816.0,198934761519440.47,212365320140039.97,227596781281698.34,243933874606276.6,263469070826608.88,284578427686298.25,307389671536235.4,332040972452957.2,358681805618304.2,389249011994820.5,422434456189202.8,458463652972555.3,497581659334025.94,540054778981215.8,585612089763176.4,635033040472993.0,688647217101638.5,746812500185550.2,809917510914768.9,876050934896148.5,947616085728080.0,1025061890913522.4,1108874630805865.2,1199581068644075.8,1293597788529646.8,1395024481665595.5,1504448684124785.2,1622504816674186.5,1749877951397631.5,1877251086121088.0,2004624220844544.0,2131997355567967.8,2259370490291424.0,2386743625014880.0,2514116759738304.0,2641489894461760.0,2768863029185216.0,2896236163908640.0,3023609298632096.0,3150982433355552.0,3278355568078976.0,3405728702802432.0,3533101837525856.0,3660474972249312.0,3787848106972768.0,3915221241696192.0,4042594376419648.0,4169967511143103.5,4297340645866528.5
