Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
agriculture and forestry 01T03,29405590144000.0,30349509587622.402,31754691881529.32,33082038002177.246,35811306137356.87,37159696957716.78,38508087778076.695,39856478598436.61,41204869418796.86,42553260239156.77,43901651059516.69,45250041879876.6,46598432700236.84,47946823520596.75,49295214340956.664,50643605161316.91,51991995981676.82,53340386802036.734,54688777622396.64,56037168442756.89,57385559263116.8,58733950083476.71,60082340903836.62,61430731724196.86,62779122544556.78,64127513364916.68,65475904185276.6,66824295005636.836,68172685825996.76,69521076646356.67,70869467466716.9,72217858287077.0,73566249107437.5,74914639927797.5,76263030748158.0,77611421568518.0,78959812388878.5,80308203209238.5,81656594029599.0,83004984849959.0,84353375670319.5,85701766490679.5,87050157311040.0,88398548131400.0,89746938951760.5,91095329772120.5,92443720592480.5,93792111412841.0,95140502233201.0,96488893053561.5,97837283873921.5
coal mining 05,1172134812188.4033,1490721054141.2114,1993243121492.2136,2058820820189.3076,2095261948706.6582,2174365858856.357,2253469769006.083,2332573679155.7817,2411677589305.508,2490781499455.2065,2569885409604.9053,2648989319754.6313,2728093229904.33,2807197140054.0566,2886301050203.755,2965404960353.4814,3044508870503.18,3123612780652.9062,3202716690802.605,3281820600952.331,3360924511102.03,3440028421251.756,3519132331401.4546,3598236241551.181,3677340151700.88,3756444061850.6064,3835547972000.305,3914651882150.0312,3993755792299.73,4072859702449.4287,4151963612599.154,4231067522748.875,4310171432898.5938,4389275343048.3125,4468379253198.031,4547483163347.781,4626587073497.5,4705690983647.219,4784794893796.9375,4863898803946.6875,4943002714096.406,5022106624246.125,5101210534395.844,5180314444545.594,5259418354695.3125,5338522264845.031,5417626174994.75,5496730085144.469,5575833995294.219,5654937905443.9375,5734041815593.656
oil and gas extraction 06,617529045.7238061,785373440.3515366,1050122827.0940396,1084671868.1054335,1103870560.1708996,1145545768.2099502,1187220976.2490153,1228896184.288066,1270571392.327131,1312246600.3661816,1353921808.4052322,1395597016.4442973,1437272224.483348,1478947432.522413,1520622640.5614634,1562297848.6005285,1603973056.639579,1645648264.6786442,1687323472.7176948,1728998680.7567596,1770673888.7958102,1812349096.8348753,1854024304.873926,1895699512.912991,1937374720.9520414,1979049928.9911067,2020725137.0301576,2062400345.0692222,2104075553.1082728,2145750761.1473231,2187425969.186388,2229101177.2254486,2270776385.2645264,2312451593.303589,2354126801.3426514,2395802009.381714,2437477217.4207764,2479152425.459839,2520827633.4989166,2562502841.537979,2604178049.5770416,2645853257.616104,2687528465.6551666,2729203673.694229,2770878881.7332916,2812554089.7723694,2854229297.811432,2895904505.8504944,2937579713.889557,2979254921.9286194,3020930129.967682
other mining and quarrying 07T08,11901722368000.002,15136610507622.4,20239161909741.914,20905030336572.42,21275049373529.754,22073616906860.027,22872184440190.48,23670751973520.754,24469319506851.207,25267887040181.656,26066454573511.93,26865022106842.383,27663589640172.652,28462157173503.105,29260724706833.56,30059292240163.83,30857859773494.28,31656427306824.555,32454994840155.008,33253562373485.46,34052129906815.906,34850697440146.0,35649264973476.45,36447832506806.91,37246400040137.36,38044967573467.81,38843535106797.91,39642102640128.36,40440670173458.81,41239237706789.266,42037805240119.72,42836372773450.0,43634940306780.5,44433507840111.0,45232075373441.5,46030642906772.0,46829210440102.25,47627777973432.75,48426345506763.25,49224913040093.75,50023480573424.25,50822048106754.75,51620615640085.0,52419183173415.5,53217750706746.0,54016318240076.5,54814885773407.0,55613453306737.25,56412020840067.75,57210588373398.25,58009155906728.75
food beverage and tobacco 10T12,2358627772227.25,2630990536976.375,3001019937740.625,3200291752938.006,3421180566710.1865,3652463287212.557,3924515532733.6953,4211864340186.7573,4515249108451.227,4835436123831.903,5173218596693.034,5554748382377.387,5959077853363.932,6387375617664.679,6840854150038.845,7320769588921.157,7820937984612.986,8349162495412.297,8906739319188.365,9494998680562.725,10115302442015.213,10740434313465.016,11396834588577.424,12085663912063.467,12808084268737.367,13565252792785.41,14312354193013.05,15091242668912.363,15902661375442.955,16747300947017.293,17625788267914.297,18504275588811.25,19382762909708.25,20261250230605.25,21139737551502.25,22018224872399.25,22896712193296.25,23775199514193.25,24653686835090.25,25532174155987.25,26410661476884.25,27289148797781.25,28167636118678.25,29046123439575.25,29924610760472.25,30803098081369.254,31681585402266.246,32560072723163.25,33438560044060.25,34317047364957.246,35195534685854.25
textiles apparel and leather 13T15,353954632744.625,373938945980.75,397627173833.7446,413293420734.8079,431271558612.6319,450056372972.9537,473298179083.7447,497757548605.1777,523499330065.882,550591891972.4055,579107318177.9115,611912172923.8947,646596090274.767,683268051945.9894,722043448760.9039,763044463166.3492,805629630445.573,850619600577.0034,898151977171.3586,948372353955.9685,1001434786556.0793,1054693149014.8091,1110821766045.4436,1169977583429.934,1232326264377.7305,1298042681765.4978,1362934724627.8713,1431114408206.577,1502750730733.9265,1578021514687.059,1657113875086.2756,1736206235485.5,1815298595884.7188,1894390956283.9375,1973483316683.1562,2052575677082.3748,2131668037481.5625,2210760397880.7812,2289852758280.0,2368945118679.2188,2448037479078.4375,2527129839477.6562,2606222199876.875,2685314560276.0938,2764406920675.3125,2843499281074.5312,2922591641473.75,3001684001872.9688,3080776362272.1875,3159868722671.4062,3238961083070.5938
wood products 16,30824414647.96191,32119940374.046875,33995148556.43329,34831322494.282,35831467863.73633,36865073522.0214,38225211945.19264,39639909119.425995,41111551988.131256,42642640776.60692,44235794774.415955,46104010730.5436,48056509420.6109,50097362599.15368,52230852020.872665,54461480905.201355,56739696244.59536,59120138794.00202,61607734128.35517,64207661438.745735,66925367388.05529,69581253176.35045,72351373629.71161,75241042522.92381,78255838653.2865,81401619841.97878,84413465595.39708,87547453605.8154,90808982260.76192,94203706633.33022,97737551407.18394,101271396181.03809,104805240954.8916,108339085728.74512,111872930502.59863,115406775276.45312,118940620050.30664,122474464824.16016,126008309598.01367,129542154371.86719,133075999145.72168,136609843919.57518,140143688693.4287,143677533467.28223,147211378241.13672,150745223014.99023,154279067788.84375,157812912562.69727,161346757336.55078,164880602110.40527,168414446884.2588
pulp paper and printing 17T18,208229026179.10938,219558383652.47656,235588601088.3015,243257108692.1383,252165929348.2964,261415150661.84915,273103098764.62057,285323348180.48706,298100672038.18756,311461025666.7387,325431604733.2736,341598729992.1876,358580287507.78754,376417958630.6864,395155596183.8597,414839339724.0866,435101422248.6945,456367952103.0623,478689566657.14246,502119504670.785,526713742891.67535,551063399128.5377,576557972241.7316,603252309694.8569,631203940191.3777,660473207540.6559,688911150533.4194,718594894099.8271,749580059263.3822,781924801869.2297,815689930553.7683,849455059238.3125,883220187922.8516,916985316607.3906,950750445291.9297,984515573976.4686,1018280702661.0079,1052045831345.5391,1085810960030.0781,1119576088714.6172,1153341217399.1562,1187106346083.6953,1220871474768.2344,1254636603452.7734,1288401732137.3125,1322166860821.8516,1355931989506.3906,1389697118190.9297,1423462246875.4688,1457227375560.0078,1490992504244.5469
refined petroleum and coke 19,694632286750.0106,703593043249.0857,712669393506.9988,727706717709.9963,733237288764.5924,761225398300.0582,789213507835.5132,817201617370.979,845189726906.4338,873177836441.8997,901165945977.3546,929154055512.8204,957142165048.2753,985130274583.7411,1013118384119.1959,1041106493654.6617,1069094603190.1167,1097082712725.5825,1125070822261.048,1153058931796.5032,1181047041331.969,1209035150867.424,1237023260402.89,1265011369938.3447,1292999479473.8103,1320987589009.2651,1348975698544.731,1376963808080.186,1404951917615.6516,1432940027151.1174,1460928136686.5723,1488916246222.0312,1516904355757.4844,1544892465292.9375,1572880574828.3906,1600868684363.8516,1628856793899.3047,1656844903434.7578,1684833012970.211,1712821122505.664,1740809232041.125,1768797341576.5781,1796785451112.0312,1824773560647.4844,1852761670182.9453,1880749779718.3984,1908737889253.8518,1936725998789.3047,1964714108324.7578,1992702217860.2188,2020690327395.6719
chemicals 20,273320406328.48434,309694492245.6406,362333276803.27563,386795257591.0061,414537343407.5138,444293191568.60504,479873959884.03235,518321852971.0005,559869507433.0819,604768581734.6162,653291325089.4838,708965436363.6102,769408320479.4048,835030722674.943,906278981745.9343,983638134567.097,1066614732381.8529,1156628437762.7048,1254279547868.308,1360219894618.2363,1475157299954.4534,1595610558270.7583,1725956986455.5598,1867014246399.3792,2019668033254.4514,2184877776378.503,2356116759099.5083,2540852025065.971,2740153693290.248,2955177277035.145,3187170544217.567,3419163811400.0,3651157078582.4375,3883150345764.875,4115143612947.25,4347136880129.688,4579130147312.125,4811123414494.5625,5043116681677.0,5275109948859.375,5507103216041.8125,5739096483224.25,5971089750406.625,6203083017589.0625,6435076284771.5,6667069551953.9375,6899062819136.375,7131056086318.75,7363049353501.1875,7595042620683.624,7827035887866.0
