Pollutant:,BC,Unit: grams of BC,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,2015,2016,2017,2018,2019,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
agriculture and forestry 01T03,0,0,0,0,0,10817565125.726395,11374696183.272394,11592496778.813953,11715979571.873507,11843820936.971104,11975933859.690561,12081828086.8026,12185334674.555939,12286415412.044123,12385006350.228304,12481051549.342587,12574528900.456387,12665414834.6154,12753643734.182236,12839138927.05421,12921833335.570213,13001685953.921251,13078666038.179316,13152732040.240887,13223844497.750608,13291966659.825743,13357088932.024721,13419188955.127176,13478210872.797142,13534089067.397232,13586786537.754934,13636301239.83704,13682674680.032108,13725969931.364769,13766275262.697515,13803676273.135193
coal mining 05,0,0,0,0,0,1072403724.2770653,986736565.4806175,1003566860.7170857,1079402817.1425939,1124357050.1320586,1165937608.4522183,1176197313.0818532,1184413661.2246387,1193832752.467132,1202692655.2611203,1210795588.3160527,1219255652.3357532,1227014178.0895247,1234800114.3467252,1241014610.8479674,1247315579.9687755,1253803608.2386913,1259963706.7262752,1266972028.2663372,1273236227.2544358,1279074355.271684,1284975665.6624215,1290644761.7764666,1295349618.263505,1300207544.027601,1304195415.189751,1308414929.5274887,1312185500.4213421,1315856573.394542,1319410056.5906863,1323246487.430369
oil and gas extraction 06,0,0,0,0,0,1824915784.4180143,1861496187.6880805,1904846267.2403271,1937685158.713299,1969166698.7588687,1998867750.8103693,2010726258.8348293,2021450357.582886,2043211681.9799519,2058980219.2112644,2071200987.1183922,2086197224.2410638,2101236762.4942183,2115586257.0474021,2122631946.8041008,2129870701.4760695,2138254126.6768246,2149055862.580255,2161266607.2718477,2173812782.2868996,2186337986.687711,2195920794.9070644,2206272932.341742,2218735217.029982,2230529569.175498,2240487847.0077586,2250375979.18975,2260441202.2870255,2268761917.209104,2276350900.182277,2286948115.371249
other mining and quarrying 07T08,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wood products 16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,0,0,0,0,0,953948771.9146222,990236553.6187421,1015210390.79024,1010199194.2199937,1014797919.3263637,1010839363.9930456,1002411718.9083742,994301369.0964116,987395098.1916189,980287998.2968283,972529509.4120563,964200530.3532624,957152560.3265163,948761698.7435234,939817150.525313,932625273.3600554,925453394.3180693,917943162.2657539,911122655.4444433,905367328.1271107,898346546.3674574,891510410.8045721,886175761.9101354,880918350.6132334,871941479.0848631,865260472.2654049,862132343.6409793,859042241.4136575,857400191.4314648,847889458.6156802,844482234.5060234
refined petroleum and coke 19,0,0,0,0,0,816027111.0020512,875298380.4239494,942244688.3626795,986016939.9646646,1034168437.2142061,1083546248.21586,1098949581.722744,1095253678.2614462,1108174480.3867795,1105889445.7333155,1102404653.7388208,1091198644.5581546,1080562545.0194871,1079972130.252714,1065954843.5605158,1059270421.9342752,1052511451.3118925,1041482516.7512383,1034004621.5112716,1034359683.9349908,1037757474.4284197,1031006307.375789,1027862298.9327013,1027925723.6911118,1021731266.6252615,1033641838.5345001,1040406371.2757487,1041722518.0294641,1037067771.6890563,1025303226.1542206,1051251921.9472294
