Pollutant:,CH4,Unit: grams of CH4,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56
,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0,2051.0,2052.0,2053.0,2054.0,2055.0,2056.0,2057.0,2058.0,2059.0,2060.0,2061.0,2062.0,2063.0,2064.0,2065.0,2066.0,2067.0,2068.0,2069.0,2070.0
agriculture and forestry 01T03,2579019456443.135,2588375310746.6787,2615958967966.7773,2646616984734.1294,2632994664715.4824,2634145578605.7944,2642355699919.6636,2650565821233.536,2658775942547.4067,2666986063861.2764,2675196185175.1455,2681931868870.2407,2688667552565.334,2695403236260.4243,2702138919955.518,2708874603650.6084,2715874723864.9043,2722874844079.1914,2729874964293.4824,2736875084507.7783,2743875204722.0664,2750610621737.3486,2757346038752.6274,2764081455767.9116,2770816872783.1943,2777552289798.4746,2784074373846.6357,2790596457894.797,2797118541942.9595,2803640625991.12,2810162710039.2817,2815357239337.915,2820551768636.546,2825746297935.183,2830940827233.8174,2836135356532.454,2851812416352.8105,2858739043727.8145,2865665671102.8184,2872592298477.8223,2879518925852.826,2886445553227.83,2893372180602.832,2900298807977.836,2907225435352.84,2914152062727.8438,2921078690102.8477,2928005317477.8516,2934931944852.8535,2941858572227.8574,2948785199602.8613,2955711826977.865,2962638454352.869,2969565081727.873,2976491709102.875,2983418336477.879
coal mining 05,9142857142.857143,9142857142.857143,9549432880.538168,9532122550.957607,9142857142.857143,9142857142.857143,9549432880.538168,9532122550.957607,9516226032.932917,9501576913.881647,9488033911.989294,9475476304.89676,9463800321.189236,9452916266.135132,9442746213.082476,9433222134.76763,9424284379.743765,9415880421.790972,9407963826.900238,9400493394.911097,9393432442.30115,9386748199.764894,9380411303.709637,9374395365.014414,9368676601.698853,9363233524.713675,9358046668.10572,9353098356.409946,9348372503.415447,9343854437.472883,9339530749.351183,9335389159.31523,9331418400.653946,9327608117.327671,9323948773.781237,9320431575.26526,9359484226.970821,9358186443.841703,9356888660.712585,9355590877.583466,9354293094.454348,9352995311.32523,9351697528.19611,9350399745.066992,9349101961.937874,9347804178.808754,9346506395.679636,9345208612.550518,9343910829.421398,9342613046.29228,9341315263.163162,9340017480.034044,9338719696.904924,9337421913.775806,9336124130.646688,9334826347.51757
oil and gas extraction 06,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.14286,39607142857.142845,39607142857.142845,39607142857.142845,39607142857.142845,39607142857.14284,39607142857.14284,39607142857.14284,39607142857.14284,39607142857.14284,39607142857.14284,39607142857.14284,39607142857.14284,39607142857.14284,39607142857.14284,39607142857.14284,39607142857.14284,39607142857.14284,39607142857.14284,39607142857.14284,39607142857.14284,39607142857.14284,39607142857.14284,39607142857.14284,39607142857.14284
other mining and quarrying 07T08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wood products 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined petroleum and coke 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
