Pollutant:,CO2,Unit: grams of CO2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
agriculture and forestry 01T03,7632620155163.04,7126991918438.129,7349151963570.209,6648564149169.541,6960154241645.244,7180000182797.844,7254502119794.397,7327285993063.05,7398419422652.127,7468003208633.678,7536108462308.518,7602744633683.403,7667878332734.475,7731485514444.543,7793525937534.852,7853964400730.232,7912786991520.75,7969978878645.809,8025498770825.887,8079298420526.511,8131335617717.507,8181584558630.4375,8230025897001.474,8276633487811.931,8321382498544.061,8364249802931.332,8405229363469.432,8444307110148.307,8481447894192.835,8516610424323.504,8549771416773.675,8580929585292.424,8610111048648.421,8637355496870.038,8662718474996.962,8686253848067.699
coal mining 05,575431873117.975,517480085600.7388,579208951246.2734,585556535287.982,572872340425.5319,424702599831.85187,516217062543.02576,528292286717.0634,537831009396.7954,481521915142.8184,481044127958.2139,498962155903.3459,501493272422.6289,517556955910.03156,531532827473.5957,541298978077.7004,544712062286.07935,543491646031.8173,545040874444.7196,532938002420.1281,524195429978.029,520582534635.9945,516195185416.1459,523806455040.31683,526405615530.37665,527383071674.3794,530523786689.9824,534232190034.571,530236727460.87964,531252902821.928,525583229678.58246,526804739464.1275,526152078928.31885,527680364847.56903,531142043494.2269,541403023853.1867
oil and gas extraction 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other mining and quarrying 07T08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wood products 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined petroleum and coke 19,355053003204.0494,209345885540.45026,156035505498.5927,98312810529.04762,220000000000.0,163612387741.35767,158698791061.05066,169420334803.85745,174832511470.4514,179497229152.47818,185711703280.6699,190579571792.63654,192145433734.4086,196631438330.98688,198427221655.44406,199982975843.72653,202199439069.64624,204450770113.43365,208573341012.78427,210059799519.73386,212924102929.81442,215108582600.72205,216337930968.05164,218220812852.83105,221711137500.4947,225844202023.34558,228964038918.30957,232844311250.38702,237440861821.72372,240567967556.4473,247986864655.94165,255335190239.92105,261412961387.56244,265996077290.0667,268686573189.5891,281361710689.766
