Pollutant:,OC,Unit: grams of OC,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,2015,2016,2017,2018,2019,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
agriculture and forestry 01T03,0,0,0,0,0,5929648710.498229,6235040119.614828,6354427523.849387,6422114621.280667,6492190870.130467,6564608573.443438,6622654497.821632,6679391637.599975,6734799047.468724,6788841673.759951,6841488853.088978,6892728466.4447155,6942547594.50402,6990910268.956608,7037774461.9866495,7083103404.971811,7126874620.5764265,7169071256.515258,7209670538.193876,7248650834.320779,7285991999.898283,7321688775.732896,7355728905.617176,7388081771.898565,7418711406.266783,7447597526.527797,7474739012.244727,7500158615.145947,7523890908.712164,7545984277.523508,7566485642.732366
coal mining 05,0,0,0,0,0,897868955.997833,872590635.9311833,883333907.2579168,943865094.1780415,935299250.4573915,958110372.2289007,966271655.8648132,962950706.9126052,968407505.7500551,971689888.9359839,971594146.9189187,975078490.7589247,975554405.1996244,977601560.5262117,971291331.2097386,966996362.7760321,965365436.2087162,963203733.2068334,967866612.7258931,969446395.987675,969945543.6536996,972419668.8490937,975038719.9849265,973267864.1485484,974108246.2629192,971200060.0040493,971413607.8428345,970483470.9402174,970555245.1208384,971469605.1629715,975678839.4576917
oil and gas extraction 06,0,0,0,0,0,4556323790.652273,4659451839.152356,4810133930.514044,4888489000.971448,4957930805.4659195,5015483854.747535,5019495688.500676,5017403836.930481,5093652019.140085,5130177062.293039,5143977536.907259,5178924138.060577,5216085524.620035,5250424113.443391,5236127288.303318,5225238599.781021,5224388133.540739,5242431841.327651,5272400477.723958,5306877471.069034,5343418179.175594,5361768355.373379,5387686919.951736,5430514284.268423,5471031754.3601675,5501165103.368194,5533163311.333539,5568710405.622522,5594432678.57113,5617288955.314408,5663154247.174406
other mining and quarrying 07T08,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wood products 16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,0,0,0,0,0,6367353794.508212,6615494596.835315,6780533856.856169,6740954554.12595,6763795324.061685,6727840316.980516,6662858287.648248,6600253686.119162,6546384304.533929,6491183039.768705,6431422859.584876,6367684572.470942,6313240066.552522,6249285016.66515,6181479468.320685,6126357449.0568285,6071501564.385139,6014344612.798126,5962257278.7460375,5917932386.442242,5864666391.492111,5812853499.933552,5771933309.196313,5731699736.00092,5664942273.148143,5614778170.413737,5590217329.427436,5566064783.453573,5552424357.070508,5482513283.791366,5456475427.794227
refined petroleum and coke 19,0,0,0,0,0,1939897091.6369596,2080799472.9659076,2239947308.025825,2344004713.0216236,2458472661.7122593,2575855859.723761,2612473370.917508,2603687299.622967,2634403223.3056636,2628971134.078749,2620686926.6499314,2594047487.4384847,2568762863.578273,2567359302.5035477,2534036765.396361,2518146251.592112,2502078516.4935575,2475860027.1938634,2458083231.5065684,2458927302.1922545,2467004685.6606793,2450955501.566206,2443481420.4326286,2443632196.6785636,2428906449.1092744,2457220807.167908,2473301764.7906485,2476430569.2449083,2465365092.6616893,2437397875.200699,2499084305.4944386
chemicals 20,0,0,0,0,0,3412313685.8709993,3470649188.060234,3438054293.551443,3426412291.8211093,3505361858.533291,3597261069.460725,3635752350.935397,3669822488.180593,3707776505.339753,3752579877.3723693,3802791702.6163893,3853090351.460063,3915558287.267749,3966168379.5113482,4023555155.5947423,4081951733.8560905,4138340932.5125017,4191232518.8390346,4240915122.5150614,4285132297.8744574,4325434630.883047,4379769954.563492,4436808386.774225,4492440919.132065,4507487269.249886,4526099533.488941,4592144238.851697,4628097145.902554,4621857262.732683,4646836176.947649,4717910674.775329
rubber and plastic products 22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
