Pollutant:,SOx,Unit: grams of SOx,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,2015,2016,2017,2018,2019,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
agriculture and forestry 01T03,0,0,0,0,0,693176300.3830941,728876574.965201,742832969.8917899,750745595.760843,758937513.5782388,767403147.5669525,774188719.710806,780821294.854126,787298424.4889103,793616010.8392138,799770469.3534746,805760383.3185476,811584242.4647597,817237842.0944179,822716269.153257,828015225.3870558,833132083.1938868,838064872.5405653,842810931.0755961,847367730.0996674,851732914.6613059,855905869.9604678,859885163.2457463,863667215.3116666,867247821.4605365,870624610.7026209,873797452.0587798,876769005.2074643,879543311.7907044,882126027.9689045,884522638.8276755
coal mining 05,0,0,0,0,0,976097045.2583457,1033576351.634005,1039131692.3792928,1099517920.2111838,1005689665.229448,1008533826.4930205,1016622095.7702662,994353769.2117748,995842263.809166,991845838.7398881,979156979.9965357,976361892.292601,965867633.1234922,959913654.058813,931993431.1141363,909817944.1384964,895125205.2669653,879386770.8726952,882252027.7395228,877265577.671959,869780163.7335471,867957675.167229,866913474.8889369,854543583.7553768,849554502.4977736,834965841.9642938,829126431.364037,820639213.8793749,815226282.3318697,812450699.2391245,818850727.3669696
oil and gas extraction 06,0,0,0,0,0,61418809649.15379,62853203471.8589,65043566816.932846,66086155082.09155,66987877042.093124,67701426979.8993,67659521823.31526,67523071864.48265,68633075566.46986,69114761780.56752,69238122408.88737,69699843071.30313,70199318900.919,70656618872.99179,70344318314.11035,70088932067.18513,69995786325.71289,70205543646.27943,70607574336.73303,71084143115.26498,71596465888.12068,71822916203.61731,72172566214.27464,72793796707.11278,73381481609.31874,73807439665.88907,74266185861.83333,74784421037.87617,75149708746.21696,75472466609.05519,76163502624.98248
other mining and quarrying 07T08,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wood products 16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,0,0,0,0,0,23285644433.130413,24194978522.71936,24798010178.044052,24651329431.621708,24732376384.554478,24597874609.441196,24357473750.262974,24125849272.313255,23926390527.90071,23722063755.447575,23500998151.27572,23265330658.453655,23063885824.280807,22827487662.498554,22576959163.970173,22373126095.776035,22170308218.98426,21959061776.14149,21766502361.647556,21602536763.131866,21405716920.215214,21214280866.799793,21062955011.92386,20914194214.808662,20667898063.925392,20482685551.69423,20391702075.99285,20302260576.232468,20251529914.983017,19993830412.681,19897567402.3988
refined petroleum and coke 19,0,0,0,0,0,51546010110.59326,55290000244.86367,59518799777.80959,62283762967.41332,65325350104.16574,68444399840.153984,69417382690.81897,69183923440.97873,70000092154.0152,69855753298.40306,69635629333.20667,68927778999.88046,68255928166.78229,68218633418.69459,67333203030.63816,66910967960.15556,66484023850.89585,65787358795.64486,65315002352.52134,65337430591.77488,65552058930.42514,65125607749.500694,64927010069.58271,64931016423.28616,64539730959.55462,65292086428.85106,65719381880.64758,65802518963.91278,65508492455.8593,64765361039.13403,66404463120.02038
