Pollutant:,VOC,Unit: grams of VOC,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,2015,2016,2017,2018,2019,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
agriculture and forestry 01T03,0,0,0,0,0,444233844293.87604,467112973616.66376,476057167131.78485,481128108256.46844,486378038385.57135,491803384187.37195,496152033726.5029,500402632530.6697,504553611431.7946,508602344300.3344,512546533915.3374,516385272352.04297,520117591728.39496,523740797392.2261,527251740728.98865,530647667129.2196,533926892649.4478,537088154760.33624,540129747248.5609,543050049554.07684,545847552466.1026,548521861979.5535,551072059891.2754,553495852406.4478,555790544872.9034,557954617801.4677,559987987251.9265,561892357724.5381,563670319374.4696,565325497048.501,566861405957.2158
coal mining 05,0,0,0,0,0,22835375035.825695,21046541183.029297,21402372663.884007,23014942478.02459,23937034704.691303,24813306034.96993,25031446388.932426,25198643188.211304,25397361920.8962,25582875576.031197,25750182981.813908,25927590898.758423,26088218825.367947,26250608196.193115,26374179327.576557,26501069697.38068,26633850619.40961,26759453820.9028,26907769965.26614,27038369667.904804,27159346098.1597,27283130022.843845,27402227400.210785,27498067351.044304,27599055566.33951,27679219773.276497,27766543656.788647,27843723835.972305,27919610858.837513,27993709808.862267,28076159925.41694
oil and gas extraction 06,0,0,0,0,0,2421475931696.6743,2477915609274.1963,2563868285566.3174,2605007573040.623,2640645667592.6836,2668935766245.372,2667527113420.455,2662422090856.73,2705976216987.124,2724994066049.956,2730016609903.3403,2748243976897.0728,2767939825321.2534,2785983327010.669,2773974019585.501,2764180760118.2793,2760715632378.0806,2769070353379.8994,2784925601528.32,2803684641482.2817,2823833175937.0493,2832814163174.8423,2846598653415.0645,2870979646842.0757,2894044193379.373,2910787728649.261,2928804551406.8906,2949137211755.047,2963491847730.603,2976179601578.06,3003239526709.069
other mining and quarrying 07T08,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wood products 16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,0,0,0,0,0,119299404726.0195,123938124514.17667,127033239224.512,126302505083.10309,126744323975.56339,126087502951.19081,124885410499.63725,123727403362.33423,122731826922.23943,121711280997.1518,120605691524.30405,119425868481.32648,118418861793.56099,117234630798.36475,115978529833.59106,114958329327.78302,113942880869.58028,112884394707.29735,111920070626.22353,111100031811.89662,110113344959.48431,109153493932.16356,108396191977.38446,107651452420.60817,106412756432.3738,105482714052.63437,105029041334.08821,104582745647.76767,104331910670.77475,103033404610.32019,102551376893.1574
refined petroleum and coke 19,0,0,0,0,0,156921535334.4322,168319365717.15543,181193101509.85117,189610479846.69827,198869984555.76514,208365308680.8645,211327360689.40677,210616640619.23346,213101303297.6216,212661892472.56503,211991769013.76752,209836860013.9396,207791544304.3573,207678007890.63153,204982491872.46692,203697081510.1515,202397335419.5563,200276477765.40848,198838482892.07065,198906761188.12033,199560154309.23718,198261908840.53317,197657317859.00574,197669514402.88742,196478323938.46423,198768719938.19247,200069535620.98672,200322629870.59424,199427524876.55527,197165209663.0677,202155128660.6913
chemicals 20,0,0,0,0,0,788521897614.1108,806267681392.8987,791210986303.6212,788217546648.236,806285782923.6047,828784347067.65,838062989074.8151,846095521396.2208,855306189313.1776,866561546207.6337,879442145764.7931,892395458347.779,908947776922.0048,922088807042.1062,937257819620.2667,952773182941.7915,967755191142.5255,981769537445.8223,994901215215.4409,1006492485206.7467,1016996511519.0577,1031650938968.7854,1047149937326.1548,1062295462066.3202,1065655284082.9912,1070114381473.8151,1088473753626.218,1098109808516.9823,1095490117406.42,1102035739695.0972,1122086382791.8657
rubber and plastic products 22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass and glass products 231,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement and other nonmetallic minerals 239,0,0,0,0,0,9091130456.13817,8829164640.055574,9346301041.699776,9471004962.840174,9688125328.252697,9892679281.883095,9967439113.02362,10021499737.06331,10081290919.44274,10158153173.938303,10273717792.056461,10396051893.053001,10498914494.961311,10597891510.167593,10699166982.031406,10812732462.941317,10902405535.738407,10981642675.373377,11056966495.20454,11129722795.260382,11229375973.441883,11337511473.56317,11425503251.696434,11476583717.459534,11539557908.72176,11603905775.959824,11666166424.90727,11731536665.402431,11751450398.900003,11768132724.238163,11803409060.024212
iron and steel 241,0,0,0,0,0,11853974406.905924,11915515980.83254,13492888075.479841,13183352585.28172,14081320217.585934,15162534863.31769,15119995370.00947,14981644507.679771,14824377299.7819,14707034155.812012,14629305558.010923,14502737781.215866,14426520479.720264,14294629628.362648,14208065065.637009,14176306189.586876,14150715008.581799,14100248019.152552,14032192521.270947,13890157253.838707,13755029585.718035,13759883520.36383,13837588875.712889,13933811547.672596,13872542193.074299,13803953604.618093,13891067836.708752,13899929027.806559,13665924648.984715,13499479882.023603,13570250283.363693
other metals 242,0,0,0,0,0,12176650870.265059,14606618593.971624,16243975922.21558,16207575939.378971,16431679570.166006,16761026190.602121,16974904820.883259,17158869286.400835,17323314317.63912,17477201640.163334,17621125882.726246,17744231233.02419,17824170986.66373,17904927545.09501,17987007362.374,18050703070.78715,18035336576.85416,18020887387.126896,18094099444.170967,18099131026.23224,18040175491.106804,18129030402.58227,18283403381.1058,18407156364.097996,18456117328.161537,18596990963.63204,18766798761.943466,18932574469.306114,19013434443.868008,19065521141.66327,19267867839.461723
metal products except machinery and vehicles 25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
computers and electronics 26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appliances and electrical equipment 27,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other machinery 28,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
road vehicles 29,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonroad vehicles 30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other manufacturing 31T33,0,0,0,0,0,174528296708.23242,196143705325.9832,208466753391.77292,213721679879.5153,217725693367.96387,223840592792.94904,224658046391.61154,225414054887.75925,227197654769.77042,228718618209.07532,230737742871.62213,230729227279.669,232768689246.8125,236628416988.7378,240545788712.315,245003513297.3384,249866326151.8485,255685671978.7572,262321596021.0505,269936523739.94827,277469327698.81146,284990270778.52856,293168292978.08014,301825197990.1164,310471183039.19543,319968694046.13434,330187779656.331,340420288225.9326,351635246371.752,363471358498.0309,375325014095.6665
energy pipelines and gas processing 352T353,0,0,0,0,0,188300931396.42575,186640593002.50793,187166028572.24792,188535415729.63147,189979354082.1593,190217784809.33923,189694583960.75168,188049949945.04953,189636568033.02716,188917207478.00577,187585172734.67014,186837578228.6577,186828328297.0605,188021722364.53485,186458719632.2259,184933825089.18323,184484247835.27145,185416210296.07416,186627269694.3468,187930630923.82626,189228169537.9615,189882098930.83746,190916632430.6533,192576581071.39658,193576204361.05206,194620745879.1456,196194661237.36786,197665846294.66925,198897928264.75385,199960708456.51324,202053409923.24252
water and waste 36T39,0,0,0,0,0,172480742685.82565,175124282215.712,177767821745.59875,180411361275.48557,183054900805.372,185698440335.25867,188294774117.68192,190891107900.1049,193487441682.52783,196083775464.95117,198680109247.37418,201263385577.8633,203846661908.3523,206429938238.84134,209013214569.33035,211596490899.8196,214119114518.39258,216641738136.96585,219164361755.53882,221686985374.11206,224209608992.6853,226689324051.37653,229169039110.06802,231648754168.75946,234128469227.45084,236608184286.14233,239105861216.04803,241603538145.95398,244101215075.85986,246598892005.76572,249096568935.67145
construction 41T43,0,0,0,0,0,749103417960.1125,725893797742.4282,725806896608.8315,746289358383.9827,770005288616.9011,790379094439.496,797367825699.3517,804198979249.0858,810870033272.6968,817376767307.379,823715489480.5798,829884740662.9539,835882965367.557,841705833008.6138,847348283435.676,852805889705.3701,858075945545.7208,863156421941.0153,868044576829.3131,872737805802.3856,877233683401.8297,881531576420.5709,885630009210.8185,889525295406.1677,893213104420.844,896690994277.9987,899958830076.9939,903019351126.6959,905876720075.352,908536762428.0476,911005127493.1182
