Unit: 2012 USD,GDP
2015,833893633138.2633
2016,875864076605.091
2017,920268510075.7981
2018,967885885733.7955
2019,1016466862757.3729
2020,995476771818.5255
2021,1032222209724.6658
2022,1085307877295.6055
2023,1165421562887.4695
2024,1245496877314.9243
2025,1320180699014.6396
2026,1390240791020.6658
2027,1457610593954.8997
2028,1523830623409.6277
2029,1589702009861.891
2030,1655650422093.7688
2031,1721902883455.7026
2032,1788607520446.9517
2033,1855827325810.3577
2034,1923586623476.3257
2035,1991887596361.6858
2036,2060695005951.8792
2037,2130000120579.58
2038,2199832565544.6406
2039,2270158349713.5464
2040,2340941922726.475
2041,2412173305535.057
2042,2483840024328.827
2043,2555969521490.8066
2044,2628563668092.565
2045,2701523297340.914
2046,2774749242442.666
2047,2848211878097.9697
2048,2921943636214.0317
2049,2995970399947.563
2050,3070300900965.8896
2051,3144950107841.568
2052,3219980077781.6553
2053,3295462223351.0566
2054,3371424610623.317
2055,3447873476503.667
2056,3524849360876.1157
2057,3602520660181.9243
2058,3681118139914.674
2059,3760863210210.098
2060,3841886846078.0674
