Unit: dimensionless (% change),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
ISIC 01T03,0.0331,0.0214,0.0112,0.0233,0.0018,0.0083,0.0574,0.0227,0.02255,0.0277375,0.032596875,0.0263960938,0.0273201172,0.0285126465,0.0287064331,0.0277338226,0.0280682549,0.0282552893,0.02819095,0.0280620792,0.0281441433,0.0281631154,0.028140072,0.0281273525,0.0281436708,0.0281435527,0.028138662,0.0281383095,0.0281410487,0.0281403932,0.0281396034,0.0281398387,0.028140221,0.0281400141,0.0281399193,0.0281399983,0.0281400382,0.0281399924,0.028139987,0.028140004,0.0281400054,0.0281399972,0.0281399984,0.0281400012,0.0281400006,0.0281399994,0.0281399999,0.0281400003,0.02814,0.0281399999,0.02814,0.02814
ISIC 05,0.102,-0.0543,0.066,0.0811,0.1002,0.0682,-0.0126,0.059225,0.05375625,0.0421453125,0.0356316406,0.0476895508,0.0448056885,0.0425680481,0.042673732,0.0444342548,0.0436204309,0.0433241164,0.0435131335,0.0437229839,0.0435451662,0.04352635,0.0435769084,0.0435928521,0.0435603192,0.0435641074,0.0435735468,0.0435727064,0.04356767,0.0435695076,0.0435708577,0.0435701854,0.0435695552,0.0435700265,0.0435701562,0.0435699808,0.0435699297,0.0435700233,0.0435700225,0.0435699891,0.0435699911,0.0435700065,0.0435700023,0.0435699972,0.0435699993,0.0435700013,0.04357,0.0435699995,0.04357,0.0435700002,0.0435699999,0.0435699999
ISIC 06,-0.0283,-0.06,-0.0442,-0.0482,0.0073,-0.0078,0.0114,-0.009325,0.00039375,-0.0013328125,0.0002839844,-0.0024950195,-0.0007875244,-0.001082843,-0.0010203506,-0.0013464344,-0.0010592881,-0.001127229,-0.0011383256,-0.0011678193,-0.0011231655,-0.0011391348,-0.0011421113,-0.0011430577,-0.0011368673,-0.0011402928,-0.0011405823,-0.0011402,-0.0011394856,-0.0011401402,-0.001140102,-0.001139982,-0.0011399275,-0.0011400379,-0.0011400123,-0.0011399899,-0.0011399919,-0.001140008,-0.0011400005,-0.0011399976,-0.0011399995,-0.0011400014,-0.0011399998,-0.0011399996,-0.0011400001,-0.0011400002,-0.0011399999,-0.0011399999,-0.00114,-0.00114,-0.00114,-0.00114
ISIC 07T08,-0.1515,0.2026,0.2284,0.1801,0.085,0.083,-0.0792,0.067225,0.03900625,0.0275078125,0.0136347656,0.036843457,0.0292480713,0.0268085266,0.0266337051,0.02988344,0.0281434358,0.0278672769,0.0281319645,0.0285065293,0.0281623016,0.0281670181,0.0282419533,0.0282694506,0.0282101809,0.0282221507,0.0282359339,0.028234429,0.0282256736,0.0282295468,0.0282313958,0.0282302613,0.0282292194,0.0282301058,0.0282302456,0.028229958,0.0282298822,0.0282300479,0.0282300334,0.0282299804,0.028229986,0.0282300119,0.0282300029,0.0282299953,0.0282299991,0.0282300023,0.0282299999,0.0282299991,0.0282300001,0.0282300004,0.0282299999,0.0282299999
ISIC 09,0.0618,-0.0122,0.0197,0.0233,0.0537,0.0627,0.0479,0.0469,0.0528,0.052575,0.05004375,0.0505796875,0.0514996094,0.0511745117,0.0508243896,0.0510195496,0.0511295151,0.0510369915,0.0510026114,0.0510471669,0.0510540712,0.0510352103,0.051034765,0.0510428033,0.0510417124,0.0510386228,0.0510394759,0.0510406536,0.0510401162,0.0510397171,0.0510399907,0.0510401194,0.0510399858,0.0510399533,0.0510400123,0.0510400177,0.0510399923,0.0510399939,0.051040004,0.051040002,0.051039998,0.0510399995,0.0510400009,0.0510400001,0.0510399996,0.05104,0.0510400002,0.05104,0.0510399999,0.05104,0.05104,0.05104
ISIC 10T12,0.0557,-0.021,0.0061,0.0128,0.04635,0.04695,0.02505,0.0327875,0.037784375,0.0356429687,0.0328162109,0.0347577637,0.0352503296,0.0346168182,0.0343602806,0.034746298,0.0347434316,0.0346167071,0.0346166793,0.034680779,0.0346643993,0.0346446412,0.0346516247,0.0346603611,0.0346552566,0.0346529709,0.0346550533,0.0346559104,0.0346547978,0.0346546831,0.0346551112,0.0346551256,0.0346549294,0.0346549623,0.0346550321,0.0346550124,0.0346549841,0.0346549977,0.0346550066,0.0346550002,0.0346549971,0.0346550004,0.0346550011,0.0346549997,0.0346549996,0.0346550002,0.0346550001,0.0346549999,0.034655,0.034655,0.034655,0.034655
ISIC 13T15,0.0718,-0.0882,0.01835,0.0935,-0.0116,0.05545,0.0343,0.0429125,0.030265625,0.0407320312,0.0370525391,0.0377406738,0.0364477173,0.0379932404,0.0373085426,0.0373725435,0.037280511,0.0374887094,0.0373625766,0.0373760851,0.0373769705,0.0374010854,0.0373791794,0.0373833301,0.0373851414,0.0373871841,0.0373837087,0.0373848411,0.0373852188,0.0373852382,0.0373847517,0.0373850124,0.0373850553,0.0373850144,0.0373849585,0.0373850101,0.0373850096,0.0373849981,0.0373849941,0.037385003,0.0373850012,0.0373849991,0.0373849993,0.0373850007,0.0373850001,0.0373849998,0.037385,0.0373850001,0.037385,0.037385,0.037385,0.037385
ISIC 16,-0.0455,-0.0216,-0.0371,0.0059,0.012,0.0279,-0.0329,0.003225,0.00255625,0.0001953125,-0.0067308594,-0.0001885742,-0.0010419678,-0.0019415222,-0.0024757309,-0.0014119488,-0.0017177924,-0.0018867486,-0.0018730552,-0.0017223862,-0.0017999956,-0.0018205464,-0.0018039958,-0.001786731,-0.0018028172,-0.0018035226,-0.0017992667,-0.0017980844,-0.0018009227,-0.0018004491,-0.0017996807,-0.0017997842,-0.0018002092,-0.0018000308,-0.0017999262,-0.0017999876,-0.0018000385,-0.0017999958,-0.001799987,-0.0018000022,-0.0018000059,-0.0017999977,-0.0017999982,-0.001800001,-0.0018000007,-0.0017999994,-0.0017999998,-0.0018000002,-0.0018,-0.0017999999,-0.0018,-0.0018
ISIC 17T18,0.0886,0.0022,-0.0289,0.0373,0.0452,0.0261,0.0336,0.03555,0.0351125,0.032590625,0.0342132812,0.0343666016,0.034070752,0.0338103149,0.0341152374,0.0340907265,0.0340217577,0.0340095091,0.0340593077,0.0340453252,0.0340339749,0.0340370293,0.0340439093,0.0340400597,0.0340387433,0.0340399354,0.0340406619,0.0340398501,0.0340397977,0.0340400612,0.0340400927,0.0340399504,0.0340399755,0.03404002,0.0340400097,0.0340399889,0.0340399985,0.0340400043,0.0340400003,0.034039998,0.0340400003,0.0340400007,0.0340399998,0.0340399997,0.0340400001,0.0340400001,0.0340399999,0.03404,0.03404,0.03404,0.03404,0.03404
ISIC 19,-0.0111,-0.0681,0.0057,0.0372,0.0416,0.0104,0.0692,0.0396,0.0402,0.03985,0.0472125,0.041715625,0.0422445312,0.0427556641,0.0434820801,0.0425494751,0.0427579376,0.0428862892,0.0429189455,0.0427781619,0.0428353335,0.0428546825,0.0428467809,0.0428287397,0.0428413842,0.0428428968,0.0428399504,0.0428382428,0.0428406185,0.0428404271,0.0428398097,0.0428397745,0.0428401575,0.0428400422,0.042839946,0.04283998,0.0428400314,0.0428399999,0.0428399893,0.0428400002,0.0428400052,0.0428399987,0.0428399983,0.0428400006,0.0428400007,0.0428399996,0.0428399998,0.0428400002,0.0428400001,0.0428399999,0.04284,0.04284
ISIC 20,0.0848,0.0939,0.0961,0.0069,0.0011,0.0586,0.0835,0.037525,0.04518125,0.0562015625,0.0556019531,0.0486274414,0.0514030518,0.0529585022,0.0521477371,0.0512841831,0.0519483685,0.0520846977,0.0518662466,0.051795874,0.0519237967,0.0519176538,0.0518758928,0.0518783043,0.0518989119,0.0518926907,0.0518864499,0.0518890892,0.0518917854,0.0518900038,0.0518893321,0.0518900526,0.0518902935,0.0518899205,0.0518898997,0.0518900416,0.0518900388,0.0518899752,0.0518899888,0.0518900111,0.0518900035,0.0518899946,0.0518899995,0.0518900022,0.05189,0.0518899991,0.0518900002,0.0518900003,0.0518899999,0.0518899999,0.0518900001,0.05189
ISIC 21,0.0848,0.0939,0.0961,0.0069,0.0011,0.0586,0.0835,0.037525,0.04518125,0.0562015625,0.0556019531,0.0486274414,0.0514030518,0.0529585022,0.0521477371,0.0512841831,0.0519483685,0.0520846977,0.0518662466,0.051795874,0.0519237967,0.0519176538,0.0518758928,0.0518783043,0.0518989119,0.0518926907,0.0518864499,0.0518890892,0.0518917854,0.0518900038,0.0518893321,0.0518900526,0.0518902935,0.0518899205,0.0518898997,0.0518900416,0.0518900388,0.0518899752,0.0518899888,0.0518900111,0.0518900035,0.0518899946,0.0518899995,0.0518900022,0.05189,0.0518899991,0.0518900002,0.0518900003,0.0518899999,0.0518899999,0.0518900001,0.05189
ISIC 22,-0.0552,-0.0561,0.0108,-0.041,-0.0363,0.0175,-0.0407,-0.025125,-0.02115625,-0.0173703125,-0.0260878906,-0.0224348633,-0.0217623291,-0.0219138489,-0.023049733,-0.0222901936,-0.0222540261,-0.0223769504,-0.0224927258,-0.022353474,-0.0223692941,-0.022398111,-0.0224034012,-0.0223810701,-0.0223879691,-0.0223926378,-0.0223912696,-0.0223882366,-0.0223900283,-0.0223905431,-0.0223900194,-0.0223897068,-0.0223900744,-0.0223900859,-0.0223899716,-0.0223899597,-0.0223900229,-0.02239001,-0.0223899911,-0.0223899959,-0.022390005,-0.0223900005,-0.0223899981,-0.0223899999,-0.0223900009,-0.0223899999,-0.0223899997,-0.0223900001,-0.0223900001,-0.0223899999,-0.02239,-0.02239
ISIC 231,0.0517,-0.0088,-0.0164,0.0608,-0.021,0.0354,0.0924,0.0419,0.037175,0.05171875,0.0557984375,0.0466480469,0.0478350586,0.0505000732,0.0501954041,0.0487946457,0.0493312954,0.0497053546,0.0495066749,0.0493344927,0.0494694544,0.0495039941,0.049453654,0.0494403988,0.0494668753,0.0494662306,0.0494567897,0.0494575736,0.0494618673,0.0494606153,0.0494592115,0.0494598169,0.0494603777,0.0494600054,0.0494598529,0.0494600132,0.0494600623,0.0494599834,0.049459978,0.0494600092,0.0494600082,0.0494599947,0.0494599975,0.0494600024,0.0494600007,0.0494599989,0.0494599999,0.0494600005,0.04946,0.0494599998,0.04946,0.0494600001
ISIC 239,-0.0103,-0.0913,0.0089,-0.02,0.0411,-0.006,0.0616,0.019175,0.02896875,0.0259359375,0.0339199219,0.0269999023,0.0289561279,0.0289529724,0.0297072311,0.0286540585,0.0290675975,0.0290954649,0.029131088,0.0289870522,0.0290703006,0.0290709764,0.0290648543,0.0290482959,0.0290636068,0.0290619334,0.0290596726,0.0290583772,0.0290608975,0.0290602202,0.0290597919,0.0290598217,0.0290601828,0.0290600041,0.0290599501,0.0290599897,0.0290600317,0.0290599939,0.0290599913,0.0290600016,0.0290600046,0.0290599979,0.0290599989,0.0290600008,0.0290600005,0.0290599995,0.0290599999,0.0290600002,0.02906,0.0290599999,0.02906,0.02906
