Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
CO2 (g),-15161000005483.406,-63045259813125.08,-43563562172683.2,132723593799971.42,200108257859431.75,212119615435578.12,221209351179883.25,235715109639531.7,236997669108207.12,239166339103943.0,239506700254366.22,236446368911087.0,236519309411437.03,227075342912397.1,226719953997179.9,221423009730329.28,202246426330894.6,204997316046464.7,194334941936220.5,186826523681830.03,165539611082283.6,167480021169221.47,171126397152790.7,175500523337032.78,183790154786707.5,194522129334526.38,204873681139187.6,208010641458284.06,208354223353886.3,208190510654682.22,207624474110108.28,206403142130568.12,205072945305453.4,203590623835953.84,202029055296022.84,200532650356237.5,198968013006011.53,197745955183994.72,196486216105160.62,195402007686674.94,195104424267361.12,194674298537834.88,194689053172687.53,195030902280985.72,196313132333103.16,197566745861967.62,198716326240627.5,199725708975566.47,200418559157690.72,200674925671741.34,200492371086200.2
VOCs (g),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO (g),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOx (g),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM10 (g),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM25 (g),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOx (g),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BC (g),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OC (g),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH4 (g),-234687023011.53958,-975918760977.5096,-674348836777.7462,2054515210147.2454,3097606444170.577,3283538094513.784,3424244051971.8013,3648788163058.6743,3668641738906.563,3702211998454.72,3707480671043.12,3660107803018.363,3661236896671.679,3515047569959.8013,3509546272783.2656,3427551412246.6514,3130704550699.3857,3173287369626.0195,3008237515575.2656,2892009804539.643,2562495778730.8228,2592532654039.8594,2648977289885.4585,2716687246490.2554,2845007866903.378,3011135111593.852,3171373544131.747,3219932602131.075,3225251130738.0522,3222716914921.7153,3213954865484.755,3195049069938.0625,3174458084330.7373,3151512261977.52,3127339722452.928,3104175892863.128,3079955849219.279,3061038817882.734,3041538493756.6245,3024755323387.4917,3020148835243.4976,3013490638096.4307,3013719034727.7837,3019010740388.138,3038859216981.9336,3058264719718.547,3076059825363.464,3091684720097.0825,3102409800670.721,3106378265413.193,3103552383729.778
